,mu1,mu2,mu3,sigma1,sigma2,sigma3,pi1,pi2,pi3
0,0.016648192,-0.0071327724,0.03525891,0.033552468,0.014014423,0.05377066,0.08736382,0.9054742,0.007161961
1,0.016596604,-0.0074758567,0.035119675,0.0335142,0.013994575,0.05371481,0.08730561,0.90554756,0.007146763
2,0.01623078,-0.0074915327,0.035184465,0.033473253,0.013968945,0.053672433,0.087237306,0.90562826,0.0071344497
3,0.016214658,-0.0073903836,0.035199367,0.033544958,0.014006734,0.053773224,0.087352246,0.9054902,0.007157588
4,0.016473282,-0.0072611608,0.035313986,0.033455968,0.01396209,0.053646445,0.087211736,0.9056561,0.0071320706
5,0.016246337,-0.007043306,0.03540715,0.03347373,0.0139680505,0.053680003,0.08723355,0.90562725,0.007139282
6,0.016460735,-0.0068911947,0.035432003,0.033507943,0.013988018,0.05372107,0.08728841,0.9055605,0.007151082
7,0.016474802,-0.006899599,0.03537997,0.033540964,0.014005363,0.05376321,0.08733944,0.90550005,0.0071605197
8,0.016032536,-0.0067024864,0.03541615,0.033638,0.014050961,0.053910732,0.08748528,0.9053233,0.007191476
9,0.017044444,-0.0070020594,0.035300635,0.03352642,0.0140045285,0.053723335,0.08732423,0.9055205,0.0071552065
10,0.01556455,-0.007011775,0.03520801,0.033741415,0.014101207,0.05406016,0.08764697,0.9051338,0.0072192876
11,0.015957166,-0.0068250336,0.03518065,0.033909082,0.014194846,0.054280102,0.087919645,0.9048072,0.007273069
12,0.016201634,-0.006975297,0.035075866,0.033908486,0.014197648,0.054267585,0.08792215,0.90480685,0.0072710756
13,0.015895534,-0.0070539154,0.035034858,0.033922613,0.014201641,0.05429429,0.08794047,0.9047853,0.007274169
14,0.016100336,-0.007172469,0.034981214,0.033911705,0.01419872,0.054271817,0.08792798,0.90480214,0.0072699036
15,0.015537817,-0.006936852,0.03511294,0.033934236,0.01420331,0.05432409,0.0879537,0.9047674,0.007278928
16,0.01624288,-0.0069168843,0.035114072,0.033904016,0.014195681,0.054261863,0.08791563,0.9048139,0.007270525
17,0.01670723,-0.007501904,0.034889303,0.033765316,0.014128983,0.054048896,0.087706305,0.9050715,0.0072222194
18,0.015809704,-0.00753719,0.035023354,0.03365743,0.014061511,0.05393243,0.08752442,0.90528655,0.0071890308
19,0.015713561,-0.0073049106,0.035034083,0.033847034,0.0141608715,0.054198623,0.08782561,0.90492475,0.007249671
20,0.015614171,-0.006652776,0.035374783,0.033815265,0.0141406655,0.054168522,0.08776563,0.9049878,0.007246568
21,0.015896697,-0.0061652698,0.035491966,0.033915818,0.014195442,0.054300725,0.08792104,0.9047972,0.0072817467
22,0.016738523,-0.00655872,0.03518697,0.033934414,0.014215827,0.054288387,0.08796184,0.9047555,0.0072826752
23,0.01581638,-0.0068646707,0.03502395,0.03398353,0.014231563,0.05437678,0.08802841,0.90467834,0.007293272
24,0.016156513,-0.0071624555,0.034887873,0.033988535,0.014239669,0.05437082,0.088047266,0.90466005,0.007292582
25,0.015254099,-0.006906096,0.035085343,0.033994615,0.014231801,0.054414153,0.08804433,0.9046585,0.007297169
26,0.015891243,-0.0068047084,0.035069607,0.034080446,0.014285266,0.054514468,0.08819102,0.9044835,0.0073255156
27,0.015653748,-0.007123295,0.034740172,0.03429836,0.014399171,0.054809093,0.08853434,0.9040776,0.0073879985
28,0.016303916,-0.0075973906,0.03461834,0.03409344,0.014299154,0.05450344,0.088223405,0.90445584,0.0073207426
29,0.01551782,-0.0076435246,0.03473743,0.033970296,0.01422447,0.05436188,0.08801841,0.9046991,0.0072824303
30,0.016652364,-0.0076712407,0.03498151,0.033599198,0.014041305,0.053827167,0.087446585,0.90538234,0.0071710553
31,0.01626866,-0.0076330937,0.035196923,0.033385396,0.013923466,0.053551435,0.08710031,0.90579283,0.0071068257
32,0.01650833,-0.007657949,0.035166107,0.033423603,0.01394695,0.05359727,0.087167,0.9057143,0.0071187653
33,0.016200889,-0.007366661,0.035353504,0.033381164,0.01391989,0.05355364,0.08709123,0.90580016,0.0071086287
34,0.016491432,-0.0071408786,0.035388015,0.033439875,0.013953507,0.05362636,0.08718523,0.9056862,0.0071285474
35,0.01680671,-0.0069376267,0.03558638,0.033249676,0.013855338,0.05335945,0.086879745,0.9060476,0.0070726695
36,0.01715507,-0.0071407594,0.035513125,0.033169746,0.01381743,0.05323577,0.08675696,0.90619665,0.0070463633
37,0.016566414,-0.0071862377,0.035504363,0.033199906,0.0138267875,0.0532946,0.086798474,0.9061468,0.007054743
38,0.016352016,-0.007126633,0.035397433,0.03341931,0.013940573,0.053601265,0.087148406,0.90572965,0.007121917
39,0.016034652,-0.0067012943,0.03556349,0.033499837,0.0139783025,0.05372715,0.08726834,0.9055811,0.0071504945
40,0.01650535,-0.00673515,0.035362564,0.033687353,0.014083147,0.053964317,0.087573,0.90522003,0.0072069494
41,0.01641189,-0.006965939,0.035214208,0.033699274,0.01408869,0.053977013,0.08759063,0.905202,0.007207462
42,0.017237324,-0.007786099,0.034887336,0.033538878,0.014015734,0.05372095,0.0873547,0.9054945,0.0071508605
43,0.015856791,-0.007903699,0.035008393,0.033441305,0.013948619,0.053632736,0.08718409,0.905696,0.007119945
44,0.016608287,-0.007738892,0.035216533,0.033312082,0.013889372,0.053442717,0.08699152,0.9059239,0.0070845233
45,0.016146053,-0.007448379,0.03537806,0.033326745,0.013890982,0.053481996,0.087006085,0.9059022,0.0070917523
46,0.016487528,-0.007203404,0.03540059,0.033419073,0.0139430165,0.053599596,0.087155,0.9057228,0.0071221925
47,0.016675193,-0.0070991553,0.035436235,0.03337252,0.013919592,0.053528845,0.08707822,0.90581334,0.0071084234
48,0.016966868,-0.007186178,0.035428368,0.033266187,0.013866425,0.053371668,0.0869098,0.9060153,0.00707491
49,0.016822565,-0.007127706,0.035581492,0.033108473,0.013781071,0.053162873,0.08665355,0.90631866,0.007027734
50,0.016685415,-0.0070335306,0.035612367,0.03316182,0.013807714,0.053242564,0.086738095,0.9062169,0.0070450795
51,0.016385574,-0.0068194903,0.03563913,0.033302844,0.013878405,0.053447604,0.08695924,0.9059508,0.0070899446
52,0.01648571,-0.00703967,0.035262905,0.03363651,0.01405704,0.053892136,0.08749599,0.9053154,0.007188584
53,0.01676603,-0.007359866,0.03516867,0.03351164,0.013994813,0.053707838,0.087302394,0.9055503,0.0071472647
54,0.01625039,-0.0075529255,0.035082005,0.03354293,0.014006019,0.053763628,0.087348,0.90549755,0.0071545276
55,0.016150016,-0.007260803,0.035312675,0.033468068,0.013964593,0.053672135,0.08722591,0.9056388,0.007135336
56,0.016347427,-0.0069994964,0.03543117,0.033474028,0.013969362,0.05367869,0.087235704,0.9056242,0.0071400683
57,0.016330827,-0.006845895,0.03544321,0.03353733,0.014002025,0.053765953,0.0873335,0.90550613,0.0071604582
58,0.016861666,-0.007171396,0.035227083,0.033548117,0.014014721,0.05375713,0.0873598,0.90547985,0.0071602915
59,0.016052026,-0.007236365,0.03519281,0.033594012,0.0140295625,0.053842545,0.08742182,0.9054054,0.00717277
60,0.016197849,-0.007027272,0.035298727,0.03360498,0.014036775,0.053857863,0.08744075,0.90538055,0.007178759
61,0.016846586,-0.0071868934,0.03529968,0.033454776,0.01396513,0.053631663,0.08721126,0.9056567,0.0071320245
62,0.0163831,-0.0074072517,0.03520622,0.033471704,0.013969421,0.053665757,0.08723477,0.9056306,0.0071346588
63,0.01625051,-0.0074743666,0.0351279,0.03356868,0.014019847,0.053802013,0.08739062,0.90544564,0.007163702
64,0.01652797,-0.0075621046,0.03512665,0.033501506,0.01398778,0.05370146,0.0872885,0.9055687,0.007142756
65,0.01590373,-0.007181648,0.035350703,0.033492684,0.013974607,0.05371487,0.08726148,0.905595,0.0071435566
66,0.016736466,-0.0069670714,0.035466276,0.03341949,0.013944864,0.05359304,0.08715319,0.9057227,0.0071241073
67,0.016406197,-0.0068681277,0.035501085,0.033422887,0.013942063,0.053606987,0.087150425,0.9057243,0.0071253125
68,0.016674746,-0.0070531406,0.035300516,0.033534527,0.014004827,0.053745985,0.087333724,0.90550905,0.0071571534
69,0.01643728,-0.007148627,0.035296045,0.03348601,0.013976514,0.053685665,0.08725347,0.90560526,0.0071411915
70,0.01612841,-0.006948594,0.03540411,0.033517897,0.013989449,0.053743064,0.0872995,0.9055474,0.0071530594
71,0.01612838,-0.0068452395,0.03531917,0.03370464,0.014088333,0.053998113,0.08759709,0.905192,0.0072109024
72,0.01619469,-0.006861631,0.0352365,0.033780515,0.014129281,0.054097235,0.08771786,0.9050486,0.0072335247
73,0.015800674,-0.006749455,0.035212122,0.033896804,0.014185846,0.054267645,0.08789507,0.90483534,0.007269523
74,0.015434433,-0.006439928,0.03519102,0.034136713,0.014307976,0.05460739,0.08826616,0.9043884,0.0073453644
75,0.01633634,-0.0064815916,0.035184108,0.034030497,0.01426208,0.054433107,0.088109,0.9045783,0.007312711
76,0.016120125,-0.007000271,0.034894727,0.0340634,0.014278352,0.054474115,0.08816213,0.9045213,0.0073166653
77,0.015704531,-0.007189695,0.034868203,0.03404206,0.014263034,0.054457843,0.08812726,0.9045642,0.007308525
78,0.01781829,-0.008582059,0.034389757,0.033661425,0.014090419,0.053857267,0.087568596,0.9052509,0.007180484
79,0.015380371,-0.009081189,0.034427486,0.033525944,0.013992071,0.05374658,0.08732936,0.90553665,0.0071339365
80,0.016010601,-0.008383814,0.035032235,0.03329009,0.013873994,0.053428352,0.08696264,0.9059646,0.007072724
81,0.016383726,-0.007702891,0.0354534,0.03314793,0.013800979,0.053234577,0.086731814,0.9062312,0.0070369747
