,mu1,mu2,mu3,sigma1,sigma2,sigma3,pi1,pi2,pi3
0,0.0027345084,-0.012163981,0.014116362,0.010208011,0.013417125,0.02966249,0.8920044,0.08292711,0.025068574
1,0.0030223988,-0.013299092,0.014627188,0.0103189945,0.01358521,0.029920101,0.89151776,0.08322362,0.025258608
2,0.003333237,-0.015538259,0.016648725,0.010626316,0.014026284,0.030575871,0.89016235,0.08402407,0.025813535
3,0.0027367137,-0.010381653,0.014139056,0.010437787,0.013650835,0.030201674,0.89094406,0.083621174,0.025434831
4,0.002980318,-0.010106548,0.013584584,0.010322034,0.013507664,0.029972494,0.89149,0.083294556,0.0252155
5,0.00091221556,-0.0030079624,0.008229375,0.008843303,0.01152432,0.026517868,0.89836997,0.07900461,0.02262541
6,0.0014333986,-0.006973519,0.008053973,0.008849025,0.011607349,0.026546001,0.8983732,0.07901674,0.02261014
7,0.0015180372,-0.008785351,0.009205714,0.008958161,0.011785388,0.026777625,0.89785045,0.07930635,0.022843268
8,0.0013557337,-0.008682295,0.01069127,0.0090658665,0.011920691,0.026979268,0.8973145,0.07961173,0.02307376
9,0.0010409616,-0.0060377857,0.011206776,0.009089768,0.011896908,0.02701056,0.89717513,0.07969518,0.023129677
10,0.0019274019,-0.011899485,0.012213826,0.0093925,0.012396336,0.02773577,0.89577544,0.08056394,0.02366063
11,0.0018571876,-0.011045708,0.012509644,0.009445667,0.012447894,0.02785784,0.8955199,0.08071062,0.023769462
12,0.0019201897,-0.011734857,0.013212755,0.009513259,0.012545943,0.027989745,0.8951968,0.080910966,0.023892263
13,0.0014636181,-0.008556022,0.013824046,0.009496748,0.012458503,0.027913988,0.89524704,0.08086708,0.023885816
14,0.0017563365,-0.009879543,0.014086962,0.009607792,0.012624741,0.028182745,0.8947419,0.08118558,0.02407256
15,0.0021112226,-0.012003585,0.0144483,0.009736717,0.012832105,0.028490722,0.89415973,0.081546366,0.024293857
16,0.0027801655,-0.017324433,0.015418515,0.009967446,0.013243973,0.029026806,0.89313626,0.08215657,0.024707183
17,0.0019846223,-0.012216642,0.014771879,0.009834886,0.01295954,0.028707325,0.8936901,0.08181919,0.024490621
18,0.0028109811,-0.018988773,0.016873151,0.0101671815,0.013533831,0.029438019,0.8922206,0.082693025,0.025086446
19,0.0022412203,-0.015314891,0.018256903,0.0102523565,0.01356411,0.029576063,0.89179945,0.082904205,0.02529631
20,0.0031722449,-0.02383034,0.021132126,0.010788202,0.014449835,0.030742705,0.88946825,0.08426933,0.026262453
21,0.0024561547,-0.018438742,0.021726102,0.011029005,0.014618516,0.031261265,0.8883507,0.08493019,0.026719142
22,0.002341237,-0.014376058,0.020697579,0.011190951,0.014704287,0.03167671,0.8876186,0.085446306,0.026935047
23,0.002899494,-0.013816758,0.020942718,0.011400938,0.014958143,0.03219962,0.88676155,0.08598525,0.02725321
24,0.0030470155,-0.011138572,0.018085122,0.011128902,0.01454109,0.03169799,0.8879291,0.08538076,0.026690135
