,mu1,mu2,sigma1,sigma2,pi1,pi2
0,0.00076043606,-0.0010265857,0.019031823,0.008562863,0.49698123,0.5030188
1,0.0007111728,-0.0010014772,0.019010901,0.00854969,0.4969662,0.50303376
2,0.0005438179,-0.0006105602,0.018948436,0.008515954,0.49694896,0.503051
3,0.0009518117,-0.0008982718,0.01908791,0.00859493,0.49697068,0.5030293
4,0.00059852004,-0.0007057041,0.018973231,0.008531094,0.4969685,0.5030315
5,0.0006069839,-0.0005507916,0.018975317,0.008533955,0.49697098,0.503029
6,0.00068725646,-0.0007480085,0.019007027,0.008551478,0.49698412,0.5030159
7,0.00077076256,-0.00086683035,0.019035518,0.008566976,0.4969869,0.5030131
8,0.0010173172,-0.0008254647,0.019116044,0.008613944,0.49699408,0.50300586
9,0.0005054176,-0.0010703504,0.018952966,0.008517981,0.49698558,0.50301445
10,0.0012630671,-0.0008812547,0.019189179,0.008653462,0.49697694,0.5030231
11,0.0019365549,-0.0016728491,0.019428372,0.008787334,0.49702004,0.50297993
12,0.0019624084,-0.0018853098,0.019438982,0.008791506,0.49702078,0.5029792
13,0.0020157546,-0.00177145,0.019451916,0.0087990165,0.49701124,0.50298876
14,0.0020627677,-0.0019369274,0.019470036,0.008808255,0.49701497,0.50298506
15,0.0020664781,-0.0015618056,0.019466102,0.00880897,0.49701044,0.5029896
16,0.0019447356,-0.0018755496,0.019433975,0.008788943,0.497023,0.502977
17,0.0015937239,-0.0019298196,0.019313514,0.008717418,0.49700123,0.50299877
18,0.0010915846,-0.0009313524,0.01912725,0.008615494,0.49695465,0.5030453
19,0.0020488948,-0.0016070008,0.019458413,0.008803427,0.4970034,0.5029966
20,0.001734823,-0.001167193,0.019356132,0.008749962,0.4970137,0.50298625
21,0.0018943548,-0.0014693886,0.019420326,0.0087867975,0.49704194,0.50295806
22,0.0019747764,-0.0021916777,0.019455671,0.008801103,0.49704885,0.50295115
23,0.0020856708,-0.0018423945,0.019477189,0.008813381,0.49701676,0.5029832
24,0.002209559,-0.0021827668,0.019522846,0.008837044,0.49702287,0.5029772
25,0.0020181537,-0.0014334023,0.01944673,0.008798361,0.49700335,0.5029967
26,0.0022711456,-0.0020297766,0.019543111,0.0088505745,0.4970277,0.5029723
27,0.0033708662,-0.002904728,0.019922256,0.009062827,0.49705276,0.5029473
28,0.0028381646,-0.002849862,0.01973772,0.008954942,0.49703068,0.5029693
29,0.0025319606,-0.0020428747,0.019619524,0.008891702,0.49700227,0.50299776
30,0.001169756,-0.0014448166,0.019165814,0.008635402,0.49698046,0.5030196
31,0.0002361983,-0.0003580451,0.018844128,0.008457363,0.49693382,0.5030662
32,0.00059989095,-0.0007636845,0.018969715,0.008527279,0.49695522,0.5030448
33,0.00041128695,-0.00033898652,0.01890421,0.008493185,0.4969492,0.50305074
34,0.0007813275,-0.0007787496,0.01903677,0.0085680485,0.49698305,0.50301695
35,-0.00015245378,-0.0001488179,0.018729627,0.008396864,0.49696136,0.50303864
36,-0.00053055584,-9.9137425e-05,0.018606901,0.008326411,0.4969476,0.5030524
37,-0.00056760013,0.00024594367,0.018585384,0.008315265,0.49692687,0.5030731
38,0.00036935508,-0.00043214858,0.01889658,0.00848943,0.49696332,0.5030367
39,0.00043441355,-0.00026722252,0.018918097,0.008503854,0.4969708,0.5030292
40,0.0012103766,-0.0012796223,0.01918751,0.00865221,0.49701035,0.50298965
41,0.0012297332,-0.0013247728,0.019189656,0.008651733,0.49699733,0.5030027
42,0.00087563694,-0.0016154796,0.019071877,0.008579791,0.49697527,0.50302476
43,0.0005308986,-0.00044378638,0.018935263,0.008507729,0.49692652,0.5030735
