,mu1,mu2,sigma1,sigma2,pi1,pi2
0,0.00085132197,0.0014867373,0.0062633157,0.013246536,0.506721,0.49327904
1,0.00075628236,0.001909066,0.0066772103,0.013960779,0.50579995,0.49420002
2,0.0006144531,0.002306033,0.0070204735,0.014543474,0.50507313,0.49492684
3,0.00063427165,0.0013604648,0.006919384,0.014372885,0.50507456,0.4949254
4,0.00075175986,0.0009509213,0.007063031,0.014625847,0.50469345,0.49530655
5,0.0011304505,0.0013454743,0.0067169666,0.014048696,0.5056901,0.49430993
6,0.0009909831,0.0018657334,0.0067774057,0.014145315,0.50563306,0.4943669
7,0.00088382885,0.0022447295,0.00676769,0.014122546,0.5057134,0.49428663
8,0.0008099638,0.0021851547,0.006630957,0.013882816,0.50599223,0.49400777
9,0.0007622875,0.0018499382,0.006647527,0.013909876,0.50585663,0.49414337
10,0.00063194707,0.0025856085,0.0069636106,0.014446437,0.50527287,0.4947271
11,0.00058114156,0.0027369745,0.0070486665,0.01458925,0.5051051,0.49489492
12,0.0005092807,0.00275423,0.007157743,0.014771879,0.50484806,0.49515197
13,0.00057442114,0.00187831,0.0063482523,0.013381243,0.50651884,0.4934812
14,0.000468608,0.001808364,0.006583929,0.01378566,0.5059022,0.4940978
15,0.00040131435,0.0020306595,0.0066487193,0.0138940215,0.50578284,0.49421713
16,0.0003948547,0.0029386766,0.006796539,0.014146924,0.5056603,0.4943397
17,0.00048242882,0.002318997,0.0065983534,0.013810337,0.5059968,0.49400315
18,0.00027025118,0.0028610118,0.007126212,0.014705598,0.50486636,0.49513367
19,0.0002666898,0.0024327524,0.0069482327,0.014401913,0.5051537,0.4948463
20,0.0002210103,0.003477294,0.007247448,0.014908373,0.5047387,0.49526125
21,0.00028224662,0.002611924,0.0071693063,0.014780223,0.5047159,0.49528402
22,0.00033769384,0.0011592694,0.006969869,0.014444947,0.50481826,0.49518177
23,0.0004679896,0.0003793724,0.0068733096,0.014287233,0.5048867,0.49511337
24,0.0006782003,0.00016226247,0.0068773627,0.014305115,0.5048916,0.4951084
25,0.00078049675,0.00045322254,0.0069690943,0.014467239,0.5047893,0.49521068
26,0.00092788413,0.0010491498,0.006909311,0.014370859,0.505115,0.494885
