,mu1,mu2,sigma1,sigma2,pi1,pi2
0,0.0004131347,0.09676194,0.015812993,0.41956556,0.9929669,0.0070331153
1,0.0005467981,0.096933305,0.01579696,0.41959554,0.9929709,0.007029074
2,0.0006901771,0.09701908,0.01579845,0.4197619,0.99296325,0.0070367935
3,0.0006700158,0.096990526,0.015793502,0.41966844,0.9929684,0.0070315637
4,0.0006968975,0.097085595,0.015782177,0.41963154,0.99297404,0.0070259655
5,0.0006683022,0.096971154,0.0157969,0.4196905,0.9929663,0.007033658
6,0.0005378127,0.09685624,0.01580304,0.41959524,0.9929684,0.0070315436
7,0.00046434999,0.09676236,0.015811026,0.41956908,0.9929669,0.0070331087
8,0.00035227835,0.09648687,0.01584661,0.41968966,0.9929496,0.0070504127
9,0.00025503337,0.09666067,0.015821815,0.41949987,0.99296737,0.0070326454
10,0.0002873838,0.09628928,0.015879571,0.41987002,0.9929309,0.0070690643
11,1.9878149e-05,0.09606445,0.015887558,0.4196295,0.9929387,0.007061348
12,-2.0518899e-05,0.096079946,0.01587969,0.41953075,0.9929456,0.0070544267
13,3.85195e-05,0.09607202,0.015885472,0.41962194,0.9929395,0.007060515
14,6.620586e-05,0.0961743,0.015869737,0.41954076,0.9929483,0.007051702
15,9.715557e-05,0.09604466,0.015894175,0.4197294,0.9929317,0.0070683225
16,-2.078712e-05,0.096092224,0.01587814,0.41952312,0.99294645,0.0070535284
17,0.00016820431,0.09648454,0.015832424,0.41942614,0.9929663,0.007033722
18,0.0004774034,0.09663099,0.015843272,0.4198407,0.99294466,0.007055352
19,0.00038036704,0.09648538,0.015842795,0.4196576,0.9929518,0.0070482036
20,0.00026518106,0.09627116,0.015870094,0.41973197,0.9929395,0.0070605185
21,-8.85874e-05,0.09586871,0.015904725,0.4196043,0.99293363,0.0070663905
22,-0.00027398765,0.09587586,0.015886426,0.41930103,0.99295324,0.007046702
23,-0.00014187396,0.09579736,0.015912771,0.4196086,0.99293077,0.0070691947
24,-0.00013059378,0.09593618,0.015893936,0.41951537,0.9929415,0.0070584724
25,-7.4893236e-05,0.09574443,0.015939951,0.41991436,0.99290895,0.0070910915
26,-0.00033584237,0.09559381,0.015944123,0.4196968,0.99291754,0.007082478
27,-0.00037930906,0.09548372,0.015938163,0.41950953,0.9929263,0.007073635
28,-0.00010557473,0.09603596,0.015871167,0.41934866,0.9929559,0.0070440434
29,0.00029432774,0.096327126,0.015855372,0.41962284,0.99294865,0.00705131
30,0.0005274713,0.09694719,0.015789688,0.41951185,0.99297684,0.007023149
31,0.0008137673,0.09719396,0.015785456,0.41982454,0.9929651,0.0070348573
32,0.00083710253,0.09730077,0.015761673,0.41964966,0.9929803,0.007019721
33,0.0009200573,0.097299814,0.015766144,0.41974413,0.9929743,0.0070256726
34,0.0008226633,0.09724563,0.015755117,0.41951644,0.99298733,0.007012692
35,0.00084908307,0.09734374,0.015752196,0.41958147,0.99298626,0.007013778
36,0.00084525347,0.097442985,0.015743554,0.41956365,0.9929905,0.007009458
