,mu1,mu2,sigma1,sigma2,pi1,pi2
0,0.7183391,-0.005241245,0.11766076,0.014221191,0.0009960296,0.99900395
1,0.7171335,-0.005071193,0.11822671,0.014360726,0.001012755,0.99898726
2,0.71597344,-0.0049240887,0.11872977,0.014485717,0.0010276682,0.9989723
3,0.7256129,-0.0059905946,0.11665094,0.013981342,0.0009788953,0.99902105
4,0.73691356,-0.006192535,0.11394054,0.013356805,0.0009187914,0.99908125
5,0.7795338,-0.007075578,0.10421693,0.011220396,0.000719856,0.99928015
6,0.7751154,-0.006503731,0.10519862,0.011435688,0.0007402347,0.99925977
7,0.7726172,-0.0064349473,0.10577583,0.011558592,0.0007515731,0.99924845
8,0.76979226,-0.0064820945,0.106381536,0.011686206,0.0007628254,0.9992372
9,0.77179956,-0.0067206323,0.105951905,0.011591017,0.0007539065,0.9992461
10,0.76499104,-0.006200999,0.10723454,0.011871457,0.00077835075,0.9992217
11,0.75988054,-0.0063039362,0.1083197,0.012102425,0.0007985545,0.9992015
12,0.75667214,-0.0060789287,0.10901433,0.0122564435,0.00081275695,0.9991873
13,0.7557323,-0.006337315,0.10935497,0.012327433,0.00081986183,0.99918014
14,0.7542715,-0.0060382187,0.10971087,0.012410998,0.0008284023,0.9991716
15,0.7490772,-0.0056845844,0.11097103,0.012695491,0.0008560785,0.99914396
16,0.74562323,-0.005553633,0.11158669,0.012833536,0.0008676788,0.99913234
17,0.74844676,-0.0064306557,0.11096501,0.012680531,0.00085193233,0.999148
18,0.7425903,-0.0061647594,0.11181736,0.012871444,0.00086592615,0.9991341
19,0.7385027,-0.0063650906,0.112725854,0.013068974,0.00088325026,0.9991167
20,0.720408,-0.0057896674,0.116342306,0.013898492,0.00095634314,0.99904364
21,0.7093885,-0.006069809,0.11916107,0.014551997,0.0010192655,0.9989807
22,0.7025043,-0.006022781,0.12098551,0.014988542,0.001062904,0.9989371
23,0.6931572,-0.0054380596,0.12352419,0.015619099,0.0011286148,0.9988714
24,0.6952439,-0.005433947,0.12327933,0.015562296,0.0011260273,0.998874
25,0.7069162,-0.0054867566,0.1205951,0.014914632,0.0010645377,0.9989354
26,0.7169595,-0.0055909455,0.1183359,0.014378607,0.001014152,0.9989858
27,0.730711,-0.0057409704,0.115240216,0.013658881,0.000946736,0.9990533
28,0.74789655,-0.00587973,0.11131823,0.012770653,0.00086348306,0.9991365
29,0.76154757,-0.006441742,0.10835177,0.012111306,0.0008026657,0.9991973
30,0.7911867,-0.007142812,0.101893604,0.010741055,0.00067889306,0.9993211
31,0.7861653,-0.0073161423,0.10292405,0.010949969,0.0006966617,0.99930334
32,0.7798149,-0.0068520606,0.104263306,0.011235297,0.0007225319,0.99927753
33,0.7769547,-0.006394714,0.104895115,0.011374354,0.00073573296,0.9992643
34,0.7750267,-0.0063295066,0.105300605,0.0114604235,0.00074340694,0.99925655
35,0.7740956,-0.0067665875,0.10546428,0.011487186,0.00074463047,0.99925536
36,0.765554,-0.006317407,0.10717368,0.011856735,0.0007772916,0.99922276
37,0.75937355,-0.0059758127,0.108523786,0.012152195,0.0008043986,0.99919564
38,0.7589158,-0.006100923,0.10871482,0.0121920705,0.00080851454,0.99919146
39,0.7541065,-0.0057416856,0.1098215,0.012440801,0.00083235267,0.9991677
40,0.7521441,-0.005700201,0.11012232,0.012507081,0.00083737046,0.9991627
41,0.7567856,-0.0070092976,0.109054804,0.012251258,0.00081120635,0.99918884
42,0.75117725,-0.006555766,0.11016178,0.0125002265,0.00083356304,0.9991665
43,0.7497921,-0.00627473,0.11048198,0.012574136,0.0008407611,0.9991592
44,0.7448308,-0.005819589,0.11167395,0.012846112,0.00086724525,0.9991328
45,0.73935306,-0.005277127,0.11306965,0.013170123,0.0008998784,0.9991001
46,0.7486578,-0.006813377,0.11104596,0.012692034,0.0008532469,0.9991467
47,0.75184554,-0.0068185627,0.11023617,0.01251477,0.000836448,0.9991635
48,0.75650054,-0.006986469,0.10918927,0.0122823715,0.0008148048,0.99918514
49,0.76843584,-0.007112175,0.10654527,0.011710346,0.00076280546,0.9992372
50,0.77097714,-0.0066699088,0.10599798,0.011600852,0.0007538215,0.99924624
51,0.7675688,-0.0064530075,0.106868565,0.011790514,0.0007722571,0.99922776
52,0.77389634,-0.006736368,0.10557312,0.011511445,0.00074742583,0.9992525
53,0.78071475,-0.0067587793,0.10406858,0.011195481,0.0007190658,0.999281
54,0.7829174,-0.0068663657,0.10359985,0.011095881,0.00071004307,0.9992899
55,0.7826002,-0.006376058,0.10363513,0.011110425,0.00071190164,0.99928814
56,0.7763136,-0.0064911544,0.10499698,0.011393607,0.0007369301,0.9992631
57,0.77262723,-0.0063881576,0.10574138,0.011551619,0.00075074314,0.9992493
58,0.76633394,-0.0062788427,0.10711849,0.011846125,0.00077733677,0.99922264
59,0.7609118,-0.0060879886,0.108346164,0.012113929,0.00080220855,0.9991978
60,0.7616596,-0.006412059,0.10824978,0.012088358,0.00079986634,0.99920017
61,0.76320946,-0.0064879954,0.107940495,0.012021542,0.0007940842,0.9992059
62,0.7699607,-0.0069994032,0.106541336,0.011714697,0.00076623214,0.9992337
63,0.7781999,-0.006887704,0.1047318,0.011334598,0.0007323693,0.99926764
64,0.779472,-0.0070846975,0.10448146,0.0112787485,0.00072718016,0.9992729
65,0.78358924,-0.0072076023,0.10356963,0.011086762,0.00070974504,0.9992902
66,0.7832413,-0.0068445504,0.10359186,0.011096358,0.0007107837,0.99928916
67,0.7840986,-0.0069812834,0.10340929,0.011055589,0.000706853,0.9992931
68,0.78352916,-0.0068341196,0.103508174,0.011078358,0.0007089498,0.99929106
69,0.78175133,-0.006545931,0.10383922,0.011150718,0.00071538857,0.9992847
70,0.77762824,-0.0064923465,0.104755044,0.011342585,0.00073266553,0.9992673
71,0.7752546,-0.0065251887,0.105266035,0.011449695,0.0007421531,0.99925786
72,0.77303606,-0.0066280067,0.10576165,0.011553168,0.00075137685,0.99924856
73,0.77555525,-0.00695619,0.10523021,0.011436105,0.00074048154,0.99925953
74,0.77252203,-0.0065573156,0.10587937,0.01158011,0.00075407326,0.999246
75,0.76489997,-0.006666571,0.10702634,0.011819363,0.0007711577,0.99922884
76,0.76576376,-0.007244855,0.1068387,0.011769056,0.00076548994,0.99923456
77,0.75625163,-0.0070305765,0.10884297,0.012201905,0.00080381054,0.99919623
78,0.7458646,-0.0062662065,0.11115694,0.012721181,0.0008523043,0.99914765
79,0.7393633,-0.005848497,0.1127578,0.013085663,0.0008877381,0.9991122
80,0.735181,-0.005474776,0.11389911,0.013352096,0.00091512105,0.99908483
81,0.73455715,-0.0054721534,0.114239514,0.013431966,0.00092457095,0.9990754
82,0.7349522,-0.005341679,0.1142931,0.013449073,0.00092803285,0.99907196
83,0.7396432,-0.005368203,0.1133371,0.013233483,0.0009089841,0.999091
84,0.7526367,-0.006069571,0.11038852,0.012562811,0.000845137,0.9991548
85,0.76195043,-0.0064645708,0.10755706,0.0119344,0.0007807305,0.9992193
86,0.7550461,-0.0072918236,0.109109044,0.01225543,0.0008081494,0.9991918
87,0.74168926,-0.0064341724,0.11205393,0.012918651,0.0008698501,0.9991302
88,0.7372183,-0.0062961876,0.113198996,0.013177395,0.00089496607,0.99910504
89,0.73504007,-0.005770713,0.11382604,0.013330042,0.00091154,0.9990884
90,0.7282647,-0.005615264,0.11506903,0.013614237,0.0009355418,0.9990645
91,0.7224291,-0.005711168,0.11656958,0.01395911,0.00096909475,0.99903095
92,0.72217286,-0.006231278,0.116737664,0.013988376,0.00097159785,0.99902844
93,0.7201639,-0.005634576,0.11720669,0.014109433,0.0009845275,0.99901545
94,0.7239316,-0.005460173,0.11646384,0.013940573,0.0009701826,0.9990299
95,0.7327748,-0.005459219,0.1140632,0.013386846,0.0009148097,0.9990852
96,0.7258328,-0.006228715,0.11590755,0.013797224,0.00095388707,0.99904615
97,0.72162914,-0.006083101,0.11690271,0.014031231,0.0009765797,0.99902344
98,0.7211309,-0.005859405,0.11712718,0.01408875,0.0009836185,0.9990164
99,0.7295445,-0.0057124197,0.11522901,0.013652921,0.0009433113,0.99905664
100,0.7463095,-0.005895287,0.111397624,0.012783468,0.0008617925,0.99913824
101,0.7462122,-0.0061015785,0.11157411,0.012821138,0.0008663391,0.99913365
102,0.7437304,-0.005666882,0.11225903,0.012984514,0.0008837609,0.99911624
103,0.7533244,-0.006401092,0.11011684,0.012496591,0.00083738595,0.9991627
104,0.76442146,-0.0067315996,0.10755962,0.011934996,0.0007848852,0.9992151
105,0.7753638,-0.006623298,0.10506749,0.01140511,0.0007366074,0.99926335
106,0.7682865,-0.0064620674,0.10667217,0.011747599,0.0007679815,0.99923205
107,0.76535445,-0.0063640177,0.107378006,0.011900961,0.0007825348,0.9992174
108,0.76552784,-0.0062809885,0.10739207,0.011906147,0.0007836414,0.9992163
109,0.7694503,-0.0063539445,0.10656649,0.011728644,0.0007678044,0.9992322
110,0.7763011,-0.0064747036,0.10512221,0.011421382,0.0007404583,0.99925953
111,0.7779614,-0.0068086684,0.10482401,0.011354208,0.00073440484,0.9992656
112,0.78012294,-0.006769985,0.10431945,0.011249185,0.00072486856,0.99927515
113,0.77866983,-0.006773323,0.10464537,0.011317432,0.0007310364,0.99926895
114,0.7782645,-0.006758064,0.10473251,0.011336029,0.00073272333,0.9992673
115,0.7794614,-0.00674811,0.10446417,0.011279762,0.0007276367,0.9992724
116,0.77120197,-0.0067129433,0.10574871,0.011547506,0.0007475839,0.9992524
117,0.7671173,-0.0070907176,0.106624424,0.011726379,0.0007626183,0.9992374
118,0.7602995,-0.0067107975,0.10805023,0.012036502,0.0007903934,0.9992095
119,0.74887705,-0.005869955,0.11048508,0.012579739,0.00084023934,0.9991598
120,0.74130434,-0.00621292,0.112258315,0.012966812,0.0008754699,0.9991246
121,0.7295455,-0.005682379,0.11501777,0.013602138,0.00093641307,0.99906355
122,0.7211064,-0.005046934,0.11713046,0.014103234,0.0009866181,0.9990133
123,0.71948445,-0.0052523315,0.11771703,0.014238238,0.0010010793,0.99899894
124,0.7184596,-0.004965037,0.117940485,0.014297545,0.0010074754,0.9989925
125,0.7257391,-0.0055905282,0.116185546,0.0138762,0.00096537505,0.99903464
126,0.7386397,-0.005816132,0.11307424,0.01316005,0.0008963071,0.9991036
127,0.73934686,-0.0057522357,0.1129936,0.013143778,0.000895687,0.9991043
128,0.7415179,-0.005356163,0.11257136,0.013056636,0.0008891103,0.9991109
129,0.74599093,-0.0059196055,0.11159605,0.012828827,0.0008671542,0.9991328
130,0.7373226,-0.0060714185,0.11297041,0.0131313205,0.00088972726,0.9991103
131,0.73606014,-0.0069852173,0.11332309,0.013193727,0.0008939812,0.999106
132,0.73551875,-0.0066349804,0.11336601,0.013208389,0.0008952457,0.9991047
133,0.72959936,-0.0059786737,0.11481547,0.013548732,0.00092894054,0.999071
134,0.72541285,-0.0055629313,0.11595142,0.013817608,0.000956549,0.9990434
135,0.7210615,-0.004940599,0.1171512,0.014110029,0.0009875981,0.99901235
136,0.72380066,-0.0051044524,0.116589665,0.013977587,0.00097549544,0.9990245
137,0.70972955,-0.005462557,0.11917865,0.014573038,0.0010243399,0.99897563
138,0.70692503,-0.0059307516,0.11991781,0.0147384405,0.0010395132,0.9989605
139,0.7042694,-0.0061327517,0.120586276,0.014892042,0.0010537674,0.99894625
140,0.71496123,-0.0058891475,0.11792815,0.01426512,0.0009931896,0.9990068
141,0.7032365,-0.005638629,0.12112403,0.01503247,0.0010714083,0.9989286
142,0.7007963,-0.0051582754,0.12201017,0.015261054,0.0010983292,0.9989016
143,0.7093506,-0.004872769,0.1201607,0.014825165,0.0010590823,0.9989409
144,0.7165904,-0.005677849,0.118533075,0.014424741,0.0010195451,0.99898046
145,0.7230212,-0.005873531,0.11697018,0.014055848,0.0009835061,0.9990165
146,0.7308456,-0.005611688,0.11509991,0.013628244,0.0009430962,0.9990569
147,0.77048755,-0.00657323,0.10603225,0.01160723,0.0007537223,0.99924636
148,0.7644524,-0.0063530505,0.10734314,0.011890948,0.0007795688,0.9992204
149,0.7584803,-0.0064062774,0.10876423,0.012197912,0.0008081271,0.9991918
150,0.7589022,-0.006416589,0.108748615,0.012195766,0.00080869184,0.99919134
151,0.76512575,-0.006559819,0.107467175,0.011918008,0.00078413304,0.99921584
152,0.76919895,-0.0065415204,0.106612384,0.0117358565,0.00076810154,0.99923193
153,0.7775224,-0.006732732,0.10483962,0.011358023,0.00073423545,0.99926573
154,0.7812193,-0.00691095,0.10408616,0.011198282,0.0007201219,0.9992799
155,0.7816494,-0.006977886,0.10399288,0.011177957,0.00071821455,0.9992818
156,0.7837773,-0.0068869293,0.1035068,0.011078,0.00070928363,0.9992907
157,0.78077775,-0.0064722,0.10413736,0.01121527,0.0007220185,0.999278
158,0.77960443,-0.0064977705,0.10435957,0.0112605095,0.00072568,0.9992743
159,0.7744951,-0.0063922703,0.105394244,0.011478722,0.00074470637,0.99925524
160,0.7637515,-0.0061793625,0.10736799,0.011899471,0.00077976426,0.99922025
161,0.756601,-0.0064620674,0.10894215,0.012234092,0.00080929924,0.99919075
162,0.74983686,-0.006384343,0.11044407,0.012563527,0.00083930505,0.99916065
163,0.743429,-0.005980164,0.11193931,0.012902379,0.00087168696,0.9991283
164,0.7419055,-0.0058077276,0.112416685,0.013013184,0.0008834915,0.9991165
165,0.7399584,-0.005563587,0.11298716,0.013147175,0.00089769426,0.99910235
166,0.7403118,-0.0057893097,0.11305404,0.013159871,0.0008998274,0.9991002
