,mu1,mu2,mu3,sigma1,sigma2,sigma3,pi1,pi2,pi3
0,0.004653327,0.0021522045,0.040059485,0.013809919,0.0068271756,0.04824555,0.07735945,0.9224843,0.00015628988
1,0.0047280714,0.002056241,0.040401317,0.013740063,0.0067851543,0.048071027,0.07717847,0.9226669,0.0001546705
2,0.004822664,0.0021924973,0.040225126,0.013773024,0.006808758,0.04817313,0.0772282,0.9226163,0.0001554945
3,0.0047265813,0.0023150444,0.03991518,0.01385206,0.0068552494,0.048365355,0.07744891,0.9223937,0.00015731707
4,0.004595153,0.0023012757,0.03976593,0.0138834715,0.006870866,0.04842806,0.077554755,0.9222872,0.00015798447
5,0.00453382,0.002159357,0.040048935,0.013849139,0.006848395,0.048330963,0.07750745,0.92233527,0.00015719583
6,0.0048034713,0.0020175576,0.040597536,0.013710141,0.006769061,0.048001885,0.07710369,0.9227423,0.0001540532
7,0.004883401,0.0021246076,0.04048065,0.013737142,0.00678879,0.048087,0.077147335,0.92269784,0.00015474252
8,0.004774444,0.0023243427,0.039928116,0.013839722,0.0068485737,0.048338115,0.07740424,0.92243874,0.00015703664
9,0.0045420453,0.0020119548,0.040381767,0.013806522,0.0068243146,0.04822892,0.07741872,0.92242503,0.00015629147
10,0.004633896,0.0023668408,0.039659,0.013904631,0.0068860054,0.04849434,0.077586554,0.922255,0.00015851378
11,0.0044240877,0.0034155846,0.036750175,0.0143559575,0.0071561337,0.049620032,0.078571215,0.9212598,0.00016885519
12,0.0019695088,0.0025768876,0.035413362,0.014930129,0.007463515,0.050826967,0.0805791,0.9192383,0.00018255693
13,-6.557256e-05,0.002752006,0.032841958,0.01570487,0.007896841,0.052544832,0.08282646,0.916972,0.0002016016
14,-0.0021590665,0.0026464462,0.030801512,0.016403556,0.0082798,0.054028034,0.08490202,0.9148787,0.00021937379
15,-0.002290018,0.0029334128,0.029650964,0.017337501,0.008800685,0.055690765,0.087891094,0.9118644,0.000244465
16,-0.0025807694,0.0027580261,0.029463567,0.018156469,0.009247601,0.057017207,0.09070468,0.90902776,0.0002675011
17,-0.003440626,0.0027566552,0.029119708,0.018764734,0.009578705,0.058098376,0.0926453,0.9070696,0.00028502833
18,-0.0044906214,0.0032341778,0.028155781,0.018734872,0.009561658,0.05829215,0.09217812,0.9075383,0.00028352308
19,-0.006113179,0.0035686493,0.027109064,0.01798135,0.00913769,0.057347894,0.08928104,0.91045815,0.00026081537
20,-0.002966471,0.0043932796,0.028608538,0.01705575,0.008634269,0.05549419,0.08635723,0.9134076,0.00023505329
21,0.0013277456,0.0031217337,0.033240475,0.015235126,0.007625282,0.051505804,0.081229575,0.91858137,0.00018914958
22,4.0225685e-05,0.0026761293,0.032612182,0.015569389,0.0078089237,0.052214086,0.08236082,0.9174416,0.0001976129
23,-0.0013734773,0.0021849275,0.032501914,0.015890539,0.007977903,0.052862108,0.08354361,0.91625065,0.00020578121
24,-0.0019457415,0.0020459294,0.033007003,0.015966594,0.008006871,0.05298555,0.08392379,0.91586876,0.00020743728
25,-3.8571656e-05,0.0027350187,0.034111775,0.015476942,0.0077406764,0.05197358,0.0822784,0.9175267,0.0001948831
26,0.0011618063,0.0027335286,0.035319485,0.0150895715,0.0075315833,0.051142275,0.08110284,0.91871154,0.00018559012
27,0.0017287657,0.002758801,0.035836615,0.01492691,0.0074454546,0.05079359,0.08060372,0.9192145,0.00018181345
28,0.0020495579,0.002426684,0.03700141,0.014692903,0.0073087215,0.05023396,0.08003522,0.9197886,0.00017624629
29,0.0029370114,0.0024135113,0.038064517,0.014382005,0.0071362257,0.049538493,0.07908675,0.92074436,0.00016894267
30,0.0047232434,0.0021393895,0.040105738,0.013777435,0.0068084598,0.04817128,0.07724551,0.922599,0.00015551443
31,0.004820816,0.002432704,0.03968344,0.013855875,0.0068582892,0.04838127,0.07740964,0.92243296,0.00015735468
32,0.00433629,0.0021531582,0.0397347,0.013926864,0.006893575,0.048517168,0.077734135,0.922107,0.00015899973
33,0.0042079613,0.0025749803,0.03865502,0.014103413,0.0069968104,0.048952818,0.07813352,0.9217035,0.00016294348
34,0.0035012886,0.0023370385,0.03816954,0.014262676,0.00708133,0.04929155,0.0786828,0.92115057,0.00016658784
35,0.0034319684,0.0023961067,0.03799621,0.014303386,0.0071042776,0.049385488,0.07879587,0.9210366,0.00016752133
36,0.0032089278,0.0026963353,0.03700248,0.014468968,0.0071986914,0.04977715,0.07918775,0.92064095,0.00017126327
37,0.002577059,0.002336502,0.036974348,0.014558375,0.007241845,0.049942195,0.07957725,0.9202494,0.0001733503
38,0.0029175207,0.0027171373,0.03633813,0.014566958,0.00725168,0.049993932,0.07943688,0.92038965,0.00017343841
39,0.0023710653,0.0028620958,0.035149135,0.014813483,0.007391691,0.05055988,0.08009795,0.91972274,0.00017925052
40,0.0010114238,0.0025624633,0.03423629,0.01518786,0.007595539,0.051365197,0.081322886,0.9184888,0.00018832796
41,0.0003920719,0.0024035573,0.034059383,0.015334368,0.0076721907,0.051667094,0.08183855,0.9179696,0.00019187748
42,0.00018846244,0.0014186502,0.0357484,0.0150542855,0.0075027943,0.050993502,0.08125944,0.9185556,0.00018498545
43,0.0022953674,0.0020317435,0.037351884,0.014541268,0.007230222,0.049916685,0.079555705,0.9202714,0.00017285986
44,0.0038162395,0.0023915172,0.038341023,0.014181197,0.007040143,0.049140453,0.07835542,0.92147994,0.00016468376
45,0.0038085505,0.002672553,0.03780166,0.014294624,0.007108867,0.049417615,0.07864265,0.92119,0.00016740787
46,0.0033014342,0.0026763678,0.03721384,0.014467001,0.0072034597,0.049794614,0.07919019,0.9206383,0.00017143336
47,0.0024128482,0.0026026368,0.036248304,0.014734268,0.007348299,0.05037588,0.080020145,0.9198022,0.00017765496
48,0.002002649,0.0026862621,0.03553424,0.014895916,0.007437527,0.05073464,0.08047518,0.91934335,0.00018144397
49,0.00161957,0.0023105145,0.035889484,0.014874876,0.0074158907,0.05063975,0.08054542,0.91927373,0.0001808305
50,0.002868168,0.002195716,0.037366845,0.014385879,0.0071395636,0.049526274,0.079067364,0.92076355,0.00016912947
51,0.00342571,0.0024815202,0.03737662,0.014287055,0.0070886016,0.049329817,0.07865393,0.92117923,0.00016676963
52,0.0031179115,0.0024883747,0.036822416,0.014392018,0.0071469545,0.04957205,0.07893496,0.9208959,0.00016913618
53,0.0032254383,0.0020837784,0.037964977,0.014226556,0.007050395,0.049167216,0.0785891,0.92124546,0.00016542169
54,0.003733389,0.0022710562,0.03834019,0.014123082,0.006997466,0.04895854,0.07822134,0.92161554,0.00016309522
55,0.004324667,0.0023810267,0.038833715,0.013985455,0.006926298,0.04866469,0.07777029,0.92206967,0.000160097
56,0.004258685,0.00293082,0.037553765,0.014207423,0.007059753,0.049220324,0.07827404,0.92156076,0.0001652156
57,0.0032682344,0.0031610131,0.035598673,0.014650762,0.007312894,0.05024457,0.079516046,0.92030835,0.00017563527
58,0.0011622831,0.002550006,0.034417488,0.015181124,0.007598877,0.051366806,0.08132167,0.91848993,0.00018848057
59,-0.0009992793,0.0024682283,0.03241483,0.015899003,0.007993698,0.052921116,0.083494365,0.91629934,0.00020627865
60,-0.0024439767,0.0029242039,0.030089118,0.01656568,0.008368611,0.054386318,0.08527526,0.9145013,0.00022332654
61,-0.0031352118,0.0024261773,0.030722834,0.01657486,0.00835526,0.054330647,0.08553217,0.91424453,0.0002232945
62,-0.0020087436,0.0024347305,0.032331683,0.01609546,0.008080065,0.053286076,0.0841817,0.91560775,0.00021051697
