,mu1,mu2,mu3,sigma1,sigma2,sigma3,pi1,pi2,pi3
0,-0.007104486,0.0029990152,-0.005720064,0.020688534,0.008029163,0.009752035,0.026300253,0.6621329,0.3115668
1,-0.008374065,0.0019491017,-0.0062710345,0.021432757,0.00838238,0.010133207,0.026905483,0.6604728,0.3126217
2,-0.007883221,0.0020881817,-0.0059669763,0.021211088,0.008281827,0.009993017,0.02670163,0.6612213,0.3120771
3,-0.0069833994,0.00032034516,-0.0043963343,0.019889355,0.0076396465,0.009222388,0.02541678,0.6655597,0.30902353
4,-0.0049346983,0.001117073,-0.003201753,0.018794775,0.007135749,0.008622825,0.024440065,0.6688233,0.30673662
5,-0.0047960877,0.0010956377,-0.0029845685,0.018646717,0.007065654,0.008533478,0.024289338,0.6693119,0.30639878
6,-0.0056581795,0.0024777874,-0.004192725,0.019468606,0.007451117,0.009031832,0.025130227,0.66608787,0.3087819
7,-0.0061749816,0.003013812,-0.0048611015,0.019986033,0.007697761,0.009339273,0.025643528,0.66428924,0.31006724
8,-0.0065823495,0.0032242984,-0.0052526593,0.020400643,0.007898748,0.0095644,0.026027165,0.6630761,0.31089675
9,-0.005848199,0.001884006,-0.0041938126,0.019577503,0.0075042844,0.009073615,0.025203727,0.66607594,0.30872026
10,-0.0052930117,0.0011827797,-0.0037600398,0.019073188,0.0072610974,0.008808851,0.024725454,0.6677777,0.30749685
11,-0.005715877,0.0013069287,-0.0041015,0.019405961,0.0074187517,0.008989334,0.025035834,0.666738,0.30822614
12,-0.0058292747,0.0012864396,-0.0041352063,0.019493282,0.007460773,0.009027123,0.02510557,0.66654134,0.30835307
13,-0.0054365396,0.0013213307,-0.0036719143,0.019176602,0.0073131323,0.008835375,0.024796695,0.6675649,0.30763835
14,-0.0051010847,0.0020333678,-0.0035844743,0.019036353,0.0072488785,0.008770466,0.024695594,0.6677063,0.30759805
15,-0.0055832863,0.0021163449,-0.004000932,0.019388258,0.007413149,0.008966863,0.025023397,0.6665839,0.30839273
16,-0.0053685606,0.00242085,-0.004017219,0.01928085,0.0073623657,0.0089311,0.024956571,0.6666881,0.30835536
17,-0.0047537982,0.0021194965,-0.0033755153,0.018826127,0.0071519017,0.008661628,0.024512928,0.668307,0.30718014
18,-0.004805535,0.0029014125,-0.0038042367,0.018981338,0.0072240233,0.008788943,0.024719376,0.66734856,0.30793208
