,mu1,mu2,sigma1,sigma2,pi1,pi2
0,0.0024303794,0.0028325133,0.0077723265,0.0050177574,0.49916744,0.50083256
1,0.0020564795,0.0031908564,0.007905483,0.0051165223,0.49933407,0.5006659
2,0.002346903,0.0030346923,0.007834673,0.0050649643,0.49923512,0.5007649
3,0.0026013851,0.002827268,0.0077798367,0.0050235987,0.4991199,0.50088006
4,0.0023391098,0.0031090789,0.007980645,0.005169213,0.49921548,0.5007846
5,0.002421558,0.0028241687,0.007818639,0.0050497055,0.49913794,0.50086206
6,0.0023342967,0.0027769618,0.0077308416,0.0049865246,0.4991632,0.5008368
7,0.002740398,0.002427917,0.0075789094,0.004875183,0.4989878,0.50101215
8,0.0026016235,0.0028439574,0.007820785,0.005052626,0.49911028,0.5008898
9,0.0024388582,0.0026346259,0.0076459646,0.0049247146,0.49911597,0.50088406
10,0.0028485507,0.0026174597,0.007659018,0.004936099,0.4990386,0.5009614
11,0.0033763945,0.0031858496,0.008143365,0.005293846,0.49907002,0.50092995
12,0.0022428632,0.0035208277,0.008338451,0.0054335,0.4993875,0.5006125
13,0.0023202002,0.0038353018,0.008539736,0.0055855513,0.4994752,0.5005248
14,0.0017517805,0.0043185763,0.00885421,0.0058184266,0.4997022,0.5002978
15,0.0013951361,0.005135875,0.0094025135,0.006231308,0.49998367,0.50001633
16,0.0002760142,0.0061925463,0.010037482,0.0067121387,0.5004854,0.49951458
17,-0.00030231476,0.006681066,0.010240316,0.006869018,0.5007409,0.49925908
18,-0.00019013882,0.0066529326,0.01010555,0.0067703724,0.5007339,0.49926612
19,-0.0009888709,0.007463556,0.010612726,0.007157266,0.50106984,0.49893016
20,-0.00025710464,0.007430177,0.010705233,0.0072304606,0.5009064,0.4990936
21,0.000641644,0.006003719,0.009758353,0.0065053105,0.5003861,0.49961385
22,-7.982552e-05,0.0065895133,0.010095656,0.0067614317,0.5006805,0.4993195
23,4.61936e-06,0.006066423,0.009666622,0.0064349174,0.5005275,0.4994725
24,-6.195903e-05,0.0058575682,0.009444058,0.0062663555,0.50046724,0.49953273
25,0.0010207593,0.0050476603,0.008996904,0.0059307814,0.5000326,0.4999674
26,0.0010137856,0.004919391,0.008918464,0.0058708787,0.4999943,0.50000566
27,0.0010265708,0.0050200038,0.008987844,0.0059229136,0.50000906,0.49999097
