,mu1,mu2,sigma1,sigma2,pi1,pi2
0,-0.0004736632,0.004912764,0.015890718,0.007166922,0.4995845,0.5004155
1,-0.0014116317,0.005733952,0.01579988,0.0070990324,0.5000172,0.4999828
2,-0.0018888265,0.0056329668,0.015481472,0.006920278,0.4997581,0.5002419
3,-0.0043137968,0.0063098073,0.014561832,0.0063923,0.49949402,0.500506
4,-0.0048321933,0.005176291,0.013828576,0.006004691,0.4982935,0.5017065
5,-0.0046257675,0.0048848838,0.013805628,0.005997479,0.4980483,0.50195163
6,-0.0035244077,0.004137248,0.014055073,0.0061448216,0.4978603,0.5021397
7,-0.002951473,0.0035127401,0.014175355,0.0062155128,0.49775296,0.5022471
8,-0.002248913,0.0037830174,0.014649451,0.006474316,0.49830896,0.50169104
9,-0.0029511154,0.0036284775,0.014321744,0.006288886,0.498131,0.501869
10,-0.0025700629,0.0027502328,0.014191031,0.0062265396,0.49764413,0.5023559
11,-0.0016542673,0.0035563707,0.014918685,0.0066245794,0.49851733,0.50148267
12,-0.0012193471,0.0040062964,0.015298843,0.006833613,0.49899212,0.5010079
13,-0.00029842556,0.0056624264,0.016359866,0.0074204206,0.5003755,0.4996245
14,-2.926588e-05,0.0057206303,0.016491592,0.0074976683,0.500439,0.499561
15,0.00014357269,0.0057840645,0.016604781,0.0075627565,0.5005171,0.49948293
16,0.00025749207,0.00520885,0.016448855,0.0074803233,0.5001679,0.4998321
17,-0.00018531084,0.0052047223,0.016253889,0.0073654056,0.5001024,0.49989754
18,0.00060892105,0.0049434453,0.016548276,0.007540524,0.50013846,0.49986154
19,0.0011642873,0.005348921,0.01703459,0.007816434,0.50062764,0.49937236
20,0.0019296706,0.0047883093,0.017240167,0.007944405,0.50051004,0.49949002
21,0.0010843575,0.005495861,0.017136812,0.007868588,0.5008774,0.4991226
22,0.00047506392,0.0060815364,0.017001033,0.007781863,0.50106245,0.49893752
23,0.00061024725,0.0064472556,0.01714772,0.007866502,0.5012108,0.49878922
24,0.00039826334,0.006437421,0.017000794,0.0077830553,0.50106215,0.49893785
25,0.00031758845,0.0063115507,0.016890466,0.007721901,0.50090784,0.49909216
26,-0.00042498112,0.006173238,0.016450942,0.007468343,0.5005993,0.49940068
27,-0.00052160025,0.0062019825,0.016385794,0.007431686,0.50054586,0.4994541
28,-0.00095307827,0.005569279,0.015919983,0.0071727037,0.49996465,0.50003535
29,-0.0012436807,0.00524652,0.01566416,0.00703001,0.49967062,0.5003294
30,-0.0024350882,0.004774973,0.014935732,0.0066208243,0.49903733,0.5009627
31,-0.0037024915,0.0057437867,0.014660716,0.0064542294,0.4993063,0.50069374
32,-0.003213793,0.0055978447,0.014735699,0.0065041184,0.49912995,0.50087005
33,-0.002831027,0.004930094,0.014675856,0.0064802766,0.49871805,0.501282
34,-0.0018624365,0.004094079,0.0148739815,0.006600976,0.49849078,0.50150925
35,-0.001973018,0.0038759857,0.014830828,0.0065743923,0.498495,0.501505
36,-0.0015846938,0.003974542,0.015075147,0.0067092776,0.4987692,0.50123084
37,-0.0016111284,0.004150659,0.015145481,0.0067454576,0.4989386,0.50106144
38,-0.0018803924,0.0043669194,0.01509428,0.006713271,0.4990209,0.50097907
39,-0.0016589314,0.0044680685,0.015213132,0.006780803,0.49910787,0.50089216
40,0.000418216,0.0041995794,0.01612097,0.007306516,0.499474,0.500526
41,3.7282705e-05,0.005906895,0.016673267,0.0075966716,0.5006932,0.49930683
42,-0.0002875477,0.0060495883,0.01650703,0.0075000525,0.50065106,0.49934894
43,-0.0011671335,0.00613977,0.016060174,0.0072426796,0.50038683,0.4996132
