,mu1,mu2,sigma1,sigma2,pi1,pi2
0,-0.019737318,0.0033930242,0.013499141,0.006916523,0.08926315,0.91073686
1,-0.019728795,0.003322646,0.013489544,0.0069116354,0.089223735,0.91077626
2,-0.019712523,0.0034235567,0.013496697,0.0069155693,0.08926547,0.91073453
3,-0.019736364,0.0034790188,0.013505995,0.006920159,0.089299016,0.910701
4,-0.019770637,0.0034632683,0.01350987,0.0069218874,0.08930313,0.91069686
5,-0.019734636,0.003348574,0.0134856105,0.006909251,0.08921418,0.91078585
6,-0.01969032,0.0032490194,0.013463974,0.0068982244,0.08913798,0.91086197
7,-0.019664183,0.0033413917,0.013470769,0.0069019794,0.08917827,0.91082174
8,-0.01973112,0.003489852,0.013505757,0.0069200397,0.08930088,0.9106991
9,-0.019696966,0.003226325,0.0134631395,0.0068975687,0.08912948,0.9108705
10,-0.019730821,0.0035493076,0.013513565,0.0069242716,0.08933559,0.91066444
11,-0.01857157,0.004440695,0.013839364,0.0070978403,0.090641074,0.9093589
12,-0.018650874,0.003187433,0.0141990185,0.0072814226,0.09139077,0.9086092
13,-0.01794745,0.0034879297,0.014713466,0.0075543523,0.092999905,0.90700006
14,-0.017778262,0.003384024,0.015296519,0.007860243,0.094597995,0.90540206
15,-0.017283544,0.0040236115,0.01594305,0.008203328,0.09654652,0.90345347
16,-0.017628625,0.004131973,0.016388535,0.008437097,0.097685136,0.90231484
17,-0.018317357,0.004536137,0.016288579,0.008385479,0.09740965,0.90259033
18,-0.01895617,0.004916355,0.015808642,0.008133054,0.09613399,0.90386605
19,-0.019649401,0.0046414733,0.014881134,0.0076435804,0.09346821,0.90653175
20,-0.019347742,0.004795894,0.014244616,0.007309556,0.091774575,0.9082254
21,-0.019211277,0.004098743,0.014190495,0.0072782636,0.09148954,0.9085105
22,-0.019244,0.0037428886,0.014436066,0.0074064136,0.09209909,0.9079009
23,-0.01920335,0.003581047,0.014530957,0.007457316,0.092333056,0.9076669
24,-0.019240156,0.003602028,0.014494717,0.007439792,0.09222936,0.9077707
25,-0.019389316,0.0040929317,0.014368713,0.007374525,0.09195244,0.90804756
26,-0.019664243,0.0040112287,0.014145672,0.0072564483,0.09126573,0.90873426
27,-0.019969895,0.003924325,0.013745546,0.007045567,0.09006099,0.90993905
28,-0.019947276,0.0035647303,0.013585031,0.006961167,0.08952677,0.9104732
29,-0.019870773,0.003525257,0.013556778,0.0069469213,0.089446485,0.9105535
30,-0.01974906,0.0034226924,0.013506651,0.006920755,0.08929125,0.9107087
31,-0.019764438,0.0035921037,0.013528585,0.0069319606,0.08938371,0.9106163
32,-0.019761398,0.0033611357,0.013497233,0.006915152,0.08924724,0.9107528
33,-0.0196736,0.0037561208,0.01358521,0.006961882,0.089597374,0.9104026
34,-0.0197763,0.0035334826,0.013613522,0.0069757104,0.08962163,0.9103784
35,-0.019806162,0.0036336035,0.013622522,0.0069806576,0.0896623,0.9103377
36,-0.019786254,0.0039213,0.013660371,0.007000625,0.08983592,0.91016406
37,-0.019843027,0.0035948604,0.013655663,0.0069974065,0.08974886,0.91025114
38,-0.019673511,0.0040234774,0.013773978,0.0070605874,0.090206146,0.90979385
39,-0.019604996,0.0041030943,0.013892174,0.00712198,0.09057498,0.909425
40,-0.019769773,0.0038464814,0.013948202,0.007150352,0.09065895,0.9093411
41,-0.0198486,0.0038529932,0.013943076,0.0071482062,0.090633884,0.90936613
42,-0.019824728,0.0031607598,0.01368314,0.0070127845,0.08975411,0.91024595
43,-0.019805178,0.00363414,0.013575137,0.00695771,0.08953295,0.910467
44,-0.01986681,0.0037553161,0.01359725,0.006968379,0.08960903,0.910391
45,-0.019772068,0.0039084107,0.013640642,0.0069907904,0.0897787,0.91022134
46,-0.01984863,0.0038077086,0.01367116,0.0070056915,0.08983332,0.91016674
47,-0.01997666,0.003847614,0.0136889815,0.007014692,0.08987683,0.91012317
48,-0.019976571,0.003990084,0.013677001,0.0070085526,0.08987229,0.9101277
49,-0.019988135,0.0036756247,0.013640165,0.0069889426,0.08970099,0.91029894
50,-0.019984558,0.0036738813,0.01361829,0.0069782734,0.08963928,0.9103607
51,-0.020016894,0.003898263,0.013652086,0.0069962144,0.08977761,0.9102224
52,-0.020136908,0.003955111,0.013693452,0.007017672,0.08989725,0.9101027
53,-0.020022586,0.0036331415,0.013620734,0.006979823,0.08963743,0.9103626
54,-0.019940838,0.003727004,0.013608813,0.0069741607,0.089630045,0.91037
55,-0.019911394,0.0037073195,0.013591588,0.0069648623,0.089576595,0.91042334
56,-0.019428387,0.004117325,0.013719261,0.0070328116,0.09010186,0.9098981
57,-0.0188324,0.0040879548,0.014018178,0.007189095,0.09104382,0.9089561
58,-0.018885985,0.0033690035,0.014300108,0.0073346496,0.091681026,0.90831894
59,-0.018923387,0.0035512894,0.014567494,0.007476151,0.0924625,0.9075375
60,-0.018675342,0.00417085,0.014815509,0.0076084733,0.093323275,0.90667677
61,-0.018954054,0.003669396,0.014769435,0.0075829625,0.093048744,0.90695125
62,-0.019296542,0.003734097,0.014431417,0.0074062943,0.09207272,0.9079273
63,-0.019656584,0.0039969236,0.014185309,0.0072769523,0.09138224,0.90861773
64,-0.019419447,0.0043871254,0.014125884,0.0072464347,0.09133266,0.9086673
65,-0.01914148,0.004317656,0.014231265,0.007300794,0.09165959,0.9083404
66,-0.01924263,0.0034795254,0.014202237,0.007283628,0.09138349,0.90861654
67,-0.019205973,0.003542453,0.014312148,0.007342577,0.09170637,0.90829366
68,-0.019146904,0.0040397793,0.0144228935,0.0074018836,0.09213172,0.9078682
69,-0.019441113,0.003661424,0.014231443,0.0073004365,0.09147202,0.908528
70,-0.019793198,0.003814876,0.013840139,0.0070952177,0.09033643,0.90966356
71,-0.019961461,0.0038095415,0.013743162,0.007044077,0.0900343,0.9099657
72,-0.020052597,0.004059285,0.013702273,0.007022679,0.0899545,0.91004544
73,-0.020008877,0.0041322857,0.013732731,0.0070382953,0.09006335,0.90993667
74,-0.017720893,0.0053551644,0.0142531395,0.007317066,0.09215817,0.9078418
75,-0.01683186,0.0036647618,0.01513654,0.0077750087,0.094386436,0.9056136
76,-0.016267046,0.0028269887,0.016213536,0.008341312,0.09716318,0.9028368
77,-0.015848383,0.0029930621,0.017389119,0.0089639425,0.10027026,0.8997298
78,-0.015910402,0.0025831908,0.01804626,0.009314299,0.10178982,0.8982102
79,-0.016355008,0.004347816,0.018533885,0.009579062,0.103305064,0.89669496
80,-0.017193511,0.0054246783,0.01827091,0.009441435,0.10277866,0.8972214
81,-0.0174665,0.006432146,0.017810047,0.009199262,0.10183985,0.8981601
82,-0.017824933,0.0061921775,0.017098486,0.0088198185,0.0999437,0.90005624
83,-0.01832144,0.0049984753,0.016221344,0.008352816,0.09733535,0.90266466
84,-0.0188822,0.0034371316,0.014243722,0.007307291,0.09153,0.90847
85,-0.019145504,0.0034671724,0.014248967,0.007309675,0.091510996,0.90848905
86,-0.019450083,0.0034310967,0.0139917135,0.0071751475,0.09073368,0.9092663
87,-0.019777969,0.0036403388,0.013633013,0.0069869757,0.08969922,0.91030073
88,-0.019922271,0.0035559386,0.013586283,0.00696218,0.089533165,0.91046685
89,-0.019805893,0.0034085512,0.013534665,0.006935656,0.08936782,0.9106322
90,-0.019785091,0.0035831183,0.01354295,0.006940067,0.08942621,0.9105738
91,-0.019666359,0.003188908,0.013452649,0.006892383,0.08909632,0.91090363
92,-0.019580558,0.0032278001,0.01343286,0.0068823695,0.08905428,0.9109458
93,-0.01952754,0.0029235631,0.013379276,0.0068542957,0.08884541,0.9111545
94,-0.01947613,0.0033435822,0.013433218,0.0068829656,0.08909014,0.91090983
95,-0.018939689,0.0038767308,0.013629258,0.006986439,0.08985197,0.9101481
96,-0.019065633,0.0031226426,0.013817787,0.007082224,0.090223916,0.9097761
97,-0.018993601,0.0030483902,0.013985038,0.007170856,0.090696536,0.9093034
98,-0.019064888,0.0034529418,0.01419425,0.0072813034,0.09136429,0.9086357
99,-0.019229993,0.0035019815,0.01425463,0.0073131323,0.09152376,0.90847623
100,-0.019379899,0.0038152486,0.014228284,0.0072999597,0.091492996,0.90850705
101,-0.019618794,0.0037824959,0.0140239,0.007192433,0.09087621,0.9091238
102,-0.019834682,0.0039376915,0.013691068,0.0070173144,0.089923434,0.91007656
