,mu1,mu2,sigma1,sigma2,pi1,pi2
0,0.0058875084,0.0036291182,0.022697031,0.007960618,0.14487159,0.8551284
1,0.006344408,0.0029901564,0.022592545,0.007909298,0.14447507,0.85552496
2,0.0064529777,0.0028107464,0.022565603,0.007896364,0.14438257,0.85561746
3,0.007178992,0.0018610358,0.022396922,0.007814348,0.14377075,0.85622925
4,0.007153034,0.0023750067,0.02238679,0.007812023,0.14388436,0.85611564
5,0.0072520077,0.002996564,0.02234459,0.0077946186,0.14393185,0.85606813
6,0.0070851743,0.0038584769,0.02236545,0.0078076124,0.14418697,0.855813
7,0.0069831014,0.004234642,0.022383451,0.007817268,0.14431404,0.855686
8,0.006875187,0.0041331053,0.022415102,0.0078315735,0.14436182,0.85563815
9,0.0068808794,0.003591299,0.022428572,0.007835746,0.1442616,0.85573846
10,0.0063777566,0.0036980212,0.022560656,0.007897615,0.14458825,0.8554117
11,0.0060541034,0.003501892,0.022655725,0.007940829,0.14474624,0.8552538
12,0.005790621,0.0032182932,0.022736013,0.007977068,0.14485478,0.8551452
13,0.0057413876,0.0028814375,0.022758782,0.007986367,0.14482462,0.85517544
14,0.005699992,0.0030139387,0.022765636,0.007990181,0.14487529,0.85512465
15,0.005746901,0.0031710565,0.02274859,0.00798285,0.14487432,0.8551256
16,0.0056735277,0.0034418404,0.022760987,0.007989645,0.14496775,0.8550322
17,0.005762458,0.0032114089,0.022744,0.007980764,0.1448704,0.85512954
18,0.0054717064,0.0034923553,0.022814512,0.008014858,0.1451004,0.8548996
19,0.005396068,0.0035094917,0.022835732,0.008024693,0.14514756,0.85485244
20,0.0050578713,0.00382483,0.022919297,0.008065045,0.14541163,0.8545884
21,0.0052544475,0.003044784,0.022889197,0.00804764,0.14514738,0.8548526
22,0.0053234994,0.002424717,0.022886276,0.008044004,0.14499715,0.8550028
23,0.005317688,0.0024876893,0.022885323,0.008043885,0.14501376,0.85498625
24,0.0054633915,0.0026722252,0.022840679,0.008023739,0.14495683,0.8550432
25,0.005599886,0.0028998554,0.02279681,0.008004189,0.14491451,0.85508555
26,0.005882919,0.0028295815,0.022721708,0.007968843,0.144729,0.855271
27,0.00604257,0.0029381812,0.022674084,0.007947266,0.14465351,0.8553465
28,0.00616771,0.003164649,0.022633553,0.007929325,0.1446183,0.85538167
29,0.0062611103,0.003245771,0.022606075,0.007916808,0.14457564,0.8554244
30,0.006436646,0.0029317737,0.022567749,0.007897735,0.14441161,0.85558844
31,0.0068362653,0.0021314025,0.022481978,0.007854819,0.14402618,0.85597384
32,0.006760031,0.0026242733,0.022486389,0.007859111,0.14416572,0.85583425
33,0.0067682266,0.0033674538,0.022464573,0.00785166,0.14429119,0.85570884
34,0.0065697134,0.0040999353,0.02249825,0.007870078,0.14454189,0.85545814
35,0.006590456,0.0039468706,0.02249813,0.007869244,0.14449917,0.8555008
36,0.0064022243,0.003733337,0.02255404,0.007894516,0.14457755,0.85542244
37,0.006283909,0.0034211278,0.022594929,0.007912338,0.14459334,0.8554067
38,0.00619787,0.0030480623,0.022628903,0.007926643,0.14457844,0.8554216
39,0.0059938133,0.0029864311,0.022686124,0.007953048,0.14469162,0.85530835
40,0.0053827763,0.003817618,0.022829473,0.008023143,0.14521372,0.8547862
41,0.0057774186,0.00301978,0.02274698,0.007981122,0.14482333,0.8551767
42,0.005843073,0.0027331412,0.022734284,0.007974505,0.14473815,0.8552618
43,0.0061046183,0.002542138,0.022668362,0.007943034,0.14454477,0.8554553
44,0.0060842633,0.0029044747,0.022663116,0.00794214,0.14462335,0.85537666
45,0.006095946,0.0032043457,0.022652388,0.007938147,0.14466812,0.8553319
46,0.0064168572,0.0028042197,0.022577226,0.007901549,0.1443996,0.8556005
47,0.006435007,0.0029042363,0.022567868,0.007897794,0.14441013,0.85558987
48,0.006490469,0.0032007098,0.022544622,0.007888138,0.14442939,0.8555706
49,0.0066014826,0.0033364296,0.022511005,0.007873058,0.14438567,0.8556143
50,0.006643027,0.0032669604,0.022502065,0.007868588,0.14434728,0.85565275
51,0.006468594,0.0033416748,0.022546768,0.007889688,0.1444675,0.85553247
52,0.006567061,0.0030904412,0.022527814,0.007879794,0.14436123,0.85563874
53,0.006369412,0.0033768117,0.02257222,0.007901728,0.14453511,0.8554649
54,0.0064128935,0.003336221,0.022562683,0.00789696,0.14449891,0.85550106
55,0.0061104596,0.0036420822,0.022635639,0.0079321265,0.14473893,0.8552611
56,0.0061066747,0.0034053922,0.02264446,0.007935166,0.14469628,0.85530365
57,0.0059509575,0.003378123,0.02268678,0.0079548955,0.14478792,0.8552121
58,0.005943477,0.0031680763,0.022695243,0.007957935,0.14475371,0.8552463
59,0.00576517,0.0032517612,0.02274108,0.007979691,0.14487831,0.85512173
60,0.005953282,0.002811402,0.02270317,0.007960141,0.14468256,0.8553175
61,0.005904883,0.0028406978,0.022714376,0.007965624,0.14471987,0.8552801
62,0.0060680807,0.002788633,0.022671819,0.007945538,0.14461024,0.8553898
63,0.0059725046,0.0032598376,0.022683859,0.007953107,0.14475454,0.8552454
64,0.006152153,0.0032190084,0.022637188,0.007931054,0.14463548,0.85536456
65,0.006430924,0.00277555,0.02257371,0.00789988,0.14438704,0.85561293
66,0.0065715015,0.0026210248,0.02253884,0.007883251,0.14427648,0.8557235
67,0.006749898,0.0026679635,0.02248925,0.007860422,0.1441767,0.8558233
68,0.0066958964,0.003186375,0.022489011,0.0078623295,0.14430307,0.8556969
69,0.0066628456,0.0035752952,0.022487938,0.007863224,0.14439078,0.8556092
70,0.006644726,0.0036122203,0.022492051,0.00786525,0.14440784,0.85559213
71,0.0067248642,0.0033232868,0.022478402,0.0078577995,0.14430764,0.8556923
72,0.0067355335,0.00311625,0.022480607,0.007858098,0.14426565,0.85573435
73,0.0067228377,0.003033787,0.022486448,0.007860482,0.1442584,0.85574156
74,0.006526351,0.003245473,0.022533655,0.007883251,0.14441553,0.8555845
75,0.006045997,0.004004419,0.022642791,0.007936895,0.14484367,0.8551563
76,0.0061510205,0.003624916,0.022627056,0.007927835,0.14470682,0.8552932
77,0.006168574,0.003135413,0.022634625,0.007929623,0.14461142,0.85538864
78,0.006092429,0.0030668378,0.0226565,0.007939637,0.14464712,0.8553529
79,0.006111324,0.0029466748,0.022655368,0.007938564,0.14461274,0.8553872
80,0.005996436,0.0030609965,0.022683382,0.0079520345,0.1447033,0.8552967
81,0.006041795,0.0029999018,0.022673309,0.007947028,0.14466345,0.85533655
82,0.0060569346,0.003070742,0.022666752,0.0079443455,0.14466795,0.8553321
83,0.006157577,0.0031316876,0.022637546,0.007930994,0.1446179,0.8553821
84,0.006104082,0.0034598708,0.022642374,0.00793457,0.14471039,0.85528964
85,0.006469935,0.0028373003,0.022562027,0.007894635,0.14437307,0.8556269
86,0.006437063,0.0026965737,0.022573113,0.007899463,0.14437176,0.8556282
87,0.0065732896,0.0026996732,0.022536397,0.007882357,0.14428893,0.8557111
