,mu1,mu2,mu3,sigma1,sigma2,sigma3,pi1,pi2,pi3
0,0.025864862,-0.0021364242,-0.0010984277,0.06334931,0.026916623,0.008812547,0.0033169764,0.07811515,0.9185679
1,0.025550626,-0.004548505,-0.0019493436,0.06307852,0.026734889,0.008745909,0.0032861747,0.077893764,0.91882
2,0.025294326,-0.005120471,-0.0019671058,0.0632233,0.026798546,0.0087785125,0.0032992077,0.078026235,0.9186745
3,0.025398813,-0.004238799,-0.0015960073,0.0636335,0.02703321,0.008877695,0.003340238,0.0783609,0.9182989
4,0.025273345,-0.004886821,-0.0018479561,0.063236475,0.026807249,0.0087813735,0.0033010608,0.07804123,0.9186577
5,0.025346898,-0.00367482,-0.001420114,0.063013494,0.026701212,0.008728027,0.0032825295,0.07786696,0.9188505
6,0.025441848,-0.0038286,-0.0015424823,0.06309456,0.026746929,0.0087483525,0.0032896693,0.07792363,0.9187867
7,0.02539488,-0.0043940097,-0.0017137264,0.06324345,0.026820302,0.008783758,0.003302644,0.078042485,0.91865486
8,0.02529528,-0.0036028177,-0.0014990305,0.062237382,0.026281059,0.008542776,0.0032093595,0.077237576,0.91955304
9,0.025268935,-0.0040806085,-0.0017198657,0.062075138,0.026188076,0.008504391,0.0031930532,0.07710146,0.9197055
10,0.025254212,-0.0032519847,-0.001464877,0.061510205,0.025891662,0.008370757,0.0031420665,0.07664739,0.92021054
11,0.025401972,-0.0038307458,-0.0016569828,0.062393546,0.02636671,0.008580923,0.0032233016,0.07735437,0.9194223
12,0.025611363,-0.0029253513,-0.0012871956,0.0631153,0.026773036,0.008754492,0.0032933669,0.07793665,0.91877
13,0.025512062,-0.003994778,-0.0016976332,0.06298411,0.02668798,0.0087227225,0.0032785942,0.077826075,0.9188953
14,0.025627218,-0.0031759292,-0.0013397073,0.0634619,0.026958883,0.008837879,0.0033258277,0.0782146,0.91845953
15,0.025365077,-0.0048154145,-0.001946125,0.062938035,0.026649773,0.008710742,0.0032726289,0.07779142,0.91893595
16,0.025033198,-0.0059136897,-0.0021976565,0.06272328,0.02651149,0.008656979,0.0032504832,0.07763103,0.9191185
17,0.025115155,-0.004728034,-0.0017146205,0.06293386,0.02663964,0.008707404,0.0032730165,0.077809274,0.9189177
18,0.025177144,-0.004287675,-0.0016425585,0.0625667,0.026447892,0.008620262,0.0032391169,0.07750925,0.9192517
19,0.025453828,-0.0029023439,-0.0012111401,0.06278288,0.026587903,0.008673549,0.0032622013,0.07767868,0.9190591
20,0.025485419,-0.0032068044,-0.001440916,0.062398136,0.026378214,0.008582413,0.0032250104,0.077358246,0.9194168
21,0.02549579,-0.0034282953,-0.0015127396,0.06255865,0.026463032,0.008620739,0.003239635,0.07748624,0.9192741
22,0.025394939,-0.0035658628,-0.0015926098,0.062100887,0.026211321,0.008511364,0.0031963673,0.07711807,0.91968554
23,0.02520623,-0.0050735027,-0.0020574068,0.062303126,0.026299119,0.008558333,0.0032123607,0.0772826,0.91950506
24,0.02517005,-0.0038879663,-0.0015925502,0.061953425,0.02612096,0.008474767,0.0031822738,0.077011675,0.919806
25,0.0253556,-0.0039302856,-0.0016219353,0.06263727,0.026495636,0.008638561,0.003246196,0.077556364,0.91919744
26,0.025491022,-0.0040070564,-0.0015758013,0.06352538,0.026980221,0.008852243,0.0033302482,0.07826811,0.91840166
27,0.02529224,-0.005106285,-0.0019356941,0.06329614,0.026838124,0.008795857,0.0033062096,0.07808584,0.9186079
28,0.02513858,-0.005196646,-0.0019065475,0.0630306,0.026688159,0.008730888,0.003281073,0.07788113,0.91883785
29,0.024869107,-0.0057233125,-0.0021135544,0.062072933,0.02615726,0.008501053,0.0031900024,0.07711401,0.91969603
30,0.024731599,-0.005768493,-0.002103958,0.061661184,0.025930882,0.008402705,0.0031516645,0.07678624,0.92006207
31,0.024612628,-0.006057933,-0.0022003984,0.061322987,0.02574271,0.008322358,0.0031197763,0.076514065,0.9203661
32,0.024693213,-0.0049725324,-0.0018378829,0.06110084,0.025636733,0.008270621,0.0031013938,0.076336004,0.92056257
33,0.024878405,-0.004970148,-0.0018762087,0.061617374,0.025920033,0.008393288,0.0031490636,0.07674708,0.92010385
34,0.024659418,-0.005834773,-0.0021974181,0.06099099,0.025568664,0.008244991,0.003089393,0.07623863,0.920672
35,0.024715684,-0.004686311,-0.0018025374,0.060735762,0.025444806,0.008185506,0.0030681984,0.07603539,0.92089635
36,0.024799727,-0.0044934303,-0.001831684,0.060527623,0.025338173,0.008137822,0.0030492411,0.07585833,0.92109245
37,0.024894021,-0.0045398027,-0.001846168,0.060911357,0.025546134,0.008227944,0.0030843576,0.07616805,0.9207476
38,0.024953626,-0.0044075996,-0.0018033718,0.06109047,0.025645316,0.008270204,0.003101108,0.07631276,0.9205861
39,0.025175236,-0.0035577565,-0.0015192365,0.061568975,0.02591765,0.008383989,0.0031470442,0.07669875,0.9201542
40,0.024829768,-0.0065998584,-0.0025464033,0.061623275,0.025905907,0.008395016,0.0031460305,0.07673812,0.9201159
41,0.025045894,-0.003882721,-0.0014507507,0.062114835,0.026203752,0.008511722,0.0031977522,0.07715424,0.919648
