,mu1,mu2,mu3,sigma1,sigma2,sigma3,pi1,pi2,pi3
0,0.0017415136,-0.016080163,-0.007903457,0.008874357,0.026050031,0.01680398,0.84195006,0.11039458,0.047655337
1,0.0019577146,-0.015621461,-0.013431072,0.008894086,0.026194215,0.016874373,0.84193903,0.11031301,0.04774797
2,0.0017843843,-0.015909709,-0.009141594,0.008881867,0.026094437,0.016821742,0.84195465,0.110364825,0.04768051
3,0.0018517748,-0.015990548,-0.008184195,0.008856714,0.026019633,0.016775906,0.8420962,0.110294774,0.047609
4,0.0017808452,-0.016278498,-0.004790604,0.00883168,0.025901556,0.016713142,0.84218395,0.11029648,0.047519498
5,0.0019379184,-0.016203456,-0.0056725442,0.0088095665,0.025866807,0.016685128,0.84234625,0.11018421,0.04746952
6,0.0021369234,-0.015938528,-0.008889884,0.008805811,0.025915265,0.016702354,0.84243697,0.11007846,0.047484588
7,0.0019849315,-0.015951075,-0.008697748,0.008835018,0.025978982,0.016746163,0.8422455,0.11019677,0.047557723
8,0.00205829,-0.015953936,-0.0080346465,0.00881362,0.02592218,0.016706169,0.84239036,0.110114284,0.047495365
9,0.002157636,-0.015783928,-0.009616494,0.008812606,0.025950849,0.016714275,0.8424457,0.110051565,0.047502767
10,0.0021207705,-0.015628688,-0.011632204,0.008843303,0.02605629,0.01677686,0.8422847,0.11011796,0.04759737
11,0.002184108,-0.015902288,-0.007284403,0.008782268,0.025845587,0.016647577,0.84262305,0.10997348,0.047403466
12,0.001921773,-0.016189374,-0.005097598,0.008807957,0.025857627,0.016676068,0.8423691,0.11017296,0.047457952
13,0.0019767806,-0.016033702,-0.007710606,0.008823931,0.025936067,0.016721845,0.84229654,0.11018177,0.0475217
14,0.0018364564,-0.015929721,-0.009877473,0.008877337,0.026091099,0.016823292,0.841967,0.110354334,0.047678716
15,0.0017120838,-0.016032942,-0.008919835,0.008891344,0.026104093,0.016839027,0.8418475,0.11044422,0.04770821
16,0.0019501522,-0.015902393,-0.00943172,0.008850396,0.026026368,0.016775787,0.84215665,0.11024001,0.047603298
17,0.002311945,-0.015229695,-0.016517937,0.008860469,0.02618277,0.016838849,0.8422736,0.11004747,0.047678933
18,0.0017969012,-0.015764646,-0.010200709,0.008893311,0.026143849,0.01684469,0.8419263,0.11035894,0.04771481
19,0.0021400377,-0.015257768,-0.01641965,0.0088944435,0.026257634,0.016891778,0.8420452,0.11018885,0.047765926
20,0.0017203316,-0.015896194,-0.00857681,0.008890331,0.026108146,0.016828299,0.84191275,0.1103927,0.047694597
21,0.0014496893,-0.01616294,-0.0074026585,0.00892812,0.026160538,0.016885221,0.841578,0.110631645,0.047790375
22,0.0013382733,-0.016110323,-0.010188192,0.008979142,0.026313484,0.016991615,0.8412388,0.11081087,0.047950376
23,0.0012704656,-0.01630225,-0.0074908733,0.008962452,0.026229203,0.016944885,0.8413017,0.11081272,0.047885597
24,0.0015005469,-0.016258977,-0.007840157,0.008918822,0.026137233,0.01687938,0.84159386,0.110629246,0.047776874
25,0.0015215427,-0.01629395,-0.006777048,0.008903503,0.026087284,0.016845882,0.84169126,0.11058176,0.047727022
26,0.0018134415,-0.01607611,-0.00820151,0.008862376,0.026026309,0.016788363,0.84202546,0.110346526,0.04762802
27,0.0024260357,-0.015954085,-0.0065397024,0.008724451,0.025700629,0.01655227,0.84298694,0.10976426,0.047248747
28,0.0023057312,-0.015939645,-0.006931782,0.008753002,0.025771737,0.016600072,0.8428021,0.109871715,0.047326174
29,0.0025116801,-0.015978806,-0.0051621795,0.008685231,0.02559334,0.016477466,0.8432532,0.10961571,0.047131095
30,0.0024715364,-0.015874512,-0.0069829226,0.008721411,0.025704741,0.016548991,0.8430329,0.1097249,0.047242153
31,0.0022413954,-0.015864722,-0.008230776,0.008780301,0.025854766,0.016652942,0.84263927,0.109953,0.0474077
32,0.0022958443,-0.015740596,-0.0096488,0.008785665,0.025892794,0.016671121,0.8426366,0.10993144,0.04743199
33,0.0020572618,-0.01574964,-0.010410786,0.008841693,0.02602923,0.01676631,0.8422619,0.11015321,0.047584828
34,0.0020392016,-0.015587099,-0.012588412,0.008870244,0.026132405,0.016827106,0.84211594,0.11020856,0.04767549
35,0.0017441213,-0.015738972,-0.011596024,0.008918107,0.026218772,0.016896904,0.8417604,0.11044634,0.047793224
36,0.001568824,-0.01604449,-0.00839144,0.008915901,0.026153207,0.01687193,0.8416917,0.110543326,0.047765046
37,0.002016686,-0.015340991,-0.016807675,0.008921385,0.026317716,0.01694119,0.8418344,0.110322066,0.047843497
38,0.0017196834,-0.0154986605,-0.014761955,0.00895977,0.02636969,0.016985357,0.8415509,0.110524416,0.047924705
39,0.0011359528,-0.016237147,-0.007423252,0.008991957,0.02630055,0.016987085,0.84114003,0.110903755,0.047956225
40,0.0014915839,-0.015824355,-0.012863606,0.008980393,0.026369631,0.01701039,0.84131247,0.11071665,0.04797093
41,0.0016112626,-0.0155408755,-0.015459865,0.008987904,0.02643907,0.017038167,0.84134614,0.11064739,0.04800652
42,0.0016882569,-0.01540608,-0.016863763,0.008988857,0.026468158,0.017049134,0.8413766,0.11060455,0.048018895
