,mu1,mu2,sigma1,sigma2,pi1,pi2
0,0.011591172,0.0025950968,0.0072038174,0.01669997,0.4971168,0.5028832
1,0.010954833,0.0029569566,0.0071766973,0.016617358,0.49670243,0.50329757
2,0.010854578,0.0030234158,0.0071768165,0.016611278,0.4968711,0.5031289
3,0.010940408,0.0028648973,0.0072023273,0.016671836,0.4971745,0.50282544
4,0.010787105,0.0031532347,0.0071631074,0.016587377,0.49704638,0.50295365
5,0.011218762,0.003122896,0.0071465373,0.016569972,0.49725297,0.50274706
6,0.011108493,0.003109932,0.0071517825,0.016578019,0.49711862,0.50288135
7,0.010982489,0.003130585,0.0071542263,0.016575992,0.4970129,0.5029871
8,0.01153872,0.003435433,0.0070768,0.016434252,0.49711415,0.5028858
9,0.011412596,0.0035344362,0.007065773,0.016406715,0.4969676,0.5030324
10,0.0118176695,0.0036030114,0.0070340633,0.01635468,0.49707478,0.5029252
11,0.011347508,0.0032776594,0.007108867,0.016493857,0.4969584,0.5030416
12,0.011439061,0.0028692782,0.0071709156,0.016626358,0.49715087,0.5028491
13,0.011128044,0.003029883,0.007159412,0.016590655,0.496922,0.503078
14,0.011290645,0.0027561188,0.0071973205,0.016674936,0.49713856,0.50286144
15,0.010921573,0.0031666458,0.007148981,0.016560316,0.49684268,0.5031573
16,0.010743117,0.0034374893,0.0071183443,0.016487718,0.4968457,0.5031543
17,0.011016702,0.0033170283,0.0071280003,0.016521156,0.4972002,0.50279987
18,0.011149382,0.0034485161,0.0070987344,0.016469121,0.49719045,0.5028095
19,0.011486387,0.0031805336,0.0071223974,0.016532063,0.4973073,0.5026927
20,0.011493539,0.0033002496,0.007098198,0.016480505,0.497057,0.502943
21,0.011470413,0.00320974,0.0071126223,0.016506135,0.4969836,0.50301635
22,0.011584377,0.003369689,0.0070809126,0.016442358,0.49694782,0.5030522
23,0.011099553,0.003466487,0.007091224,0.016444385,0.49677625,0.5032237
24,0.011549091,0.0034781694,0.007070005,0.016417563,0.49709976,0.5029003
25,0.011219835,0.0032132864,0.0071287155,0.016531706,0.49707493,0.50292504
26,0.010965442,0.002884686,0.007195294,0.01666087,0.4970942,0.5029058
27,0.010745024,0.0031454563,0.0071647167,0.016587853,0.49694043,0.50305957
28,0.010861611,0.003337413,0.0071303844,0.016520023,0.49703512,0.5029649
29,0.0109678265,0.0038435757,0.007044971,0.016346812,0.49697664,0.5030233
30,0.0110789295,0.004065454,0.0070056915,0.016269684,0.49702618,0.5029738
31,0.011075472,0.004278779,0.006972909,0.016202092,0.49700347,0.5029965
32,0.011444187,0.0042591095,0.0069580674,0.01618588,0.49717894,0.5028211
33,0.011263108,0.004055321,0.0069972277,0.016262352,0.49709573,0.50290424
34,0.011248684,0.004397005,0.006942928,0.016145706,0.49690557,0.5030944
35,0.011697268,0.0043624043,0.006926894,0.016128004,0.49711508,0.5028849
36,0.0117407795,0.0043804348,0.006919563,0.016115546,0.49703318,0.5029669
37,0.011626815,0.004173547,0.006956458,0.01618731,0.49698424,0.5030157
38,0.011619544,0.004042506,0.0069770217,0.016229153,0.49699333,0.5030067
39,0.011710977,0.0037109852,0.0070244074,0.01633209,0.49711168,0.5028883
40,0.0108089205,0.0040330887,0.0070177317,0.016282618,0.4966154,0.5033846
41,0.011570191,0.0035728812,0.0070584416,0.01639551,0.49729708,0.50270295
42,0.011381602,0.0037072897,0.0070429444,0.016361296,0.49707854,0.50292146
43,0.011616563,0.0034977794,0.0070629716,0.01641053,0.49714985,0.5028502
44,0.011527872,0.0031290054,0.007124305,0.016535163,0.49712554,0.5028745
45,0.011617517,0.0030798018,0.007125318,0.016538858,0.49705335,0.5029467
46,0.011478638,0.0030620992,0.00713408,0.016549885,0.49693552,0.50306445
47,0.011257743,0.0030801892,0.0071436167,0.0165596,0.4968798,0.50312024
48,0.01127932,0.0030263662,0.0071535707,0.016581655,0.49701414,0.50298584
49,0.01149044,0.0030069053,0.0071462393,0.016576767,0.49713665,0.50286335
50,0.010463333,0.0027139187,0.007246971,0.016747773,0.49685156,0.50314844
51,0.011059498,0.0029034019,0.007189095,0.016648948,0.497173,0.502827
52,0.011058068,0.0028928518,0.007190168,0.01665467,0.49717897,0.502821
53,0.011266446,0.0029887557,0.0071621537,0.016604066,0.49714985,0.5028501
54,0.011989331,0.002673328,0.007173419,0.016655803,0.4974051,0.5025949
55,0.011485076,0.0028373003,0.007166147,0.016619802,0.49686158,0.5031384
56,0.0115658995,0.0026711822,0.007190168,0.016667366,0.49694067,0.5030593
57,0.0113659855,0.00246495,0.0072352886,0.01675415,0.49698442,0.5030155
58,0.011260128,0.0023831725,0.007255137,0.016792,0.49701712,0.5029829
59,0.010814285,0.0027608573,0.0072177052,0.016696453,0.49678132,0.50321865
60,0.010686612,0.0024047196,0.0072883964,0.016839445,0.49709693,0.5029031
61,0.01056168,0.0026310086,0.007259369,0.016777813,0.4970877,0.50291234
62,0.01084969,0.0026482642,0.007242799,0.016756177,0.49725953,0.5027405
63,0.01097033,0.0027407706,0.0072194934,0.016713798,0.4972081,0.5027919
64,0.011333322,0.0033272207,0.0071033835,0.016483545,0.49703264,0.50296736
65,0.011519885,0.0031280816,0.0071254373,0.01653558,0.49713168,0.5028683
66,0.011360383,0.0032503605,0.007112086,0.01650083,0.49694607,0.50305396
67,0.011517977,0.0032306612,0.0071077943,0.01649636,0.4970225,0.5029775
68,0.01145575,0.0032850504,0.007101953,0.016482174,0.49697405,0.50302595
69,0.011312341,0.0028910637,0.007173717,0.016627014,0.49708468,0.5029154
70,0.011397934,0.002703309,0.007199168,0.016684413,0.49715692,0.50284314
71,0.011504268,0.0023232996,0.007253766,0.016803145,0.49723646,0.5027635
72,0.010816669,0.0027205646,0.0072218776,0.01670748,0.49671826,0.5032817
73,0.0113118645,0.0026304722,0.007215798,0.016711056,0.49711505,0.502885
74,0.011193847,0.0025756955,0.0072305202,0.016741157,0.49711165,0.5028883
75,0.010771966,0.0029749274,0.007187128,0.016633391,0.49681222,0.5031878
76,0.01114068,0.002759099,0.0072073936,0.016689777,0.4972002,0.50279987
77,0.01044569,0.0032370687,0.0071651936,0.016577244,0.49679542,0.5032046
78,0.010563349,0.0034312606,0.0071332455,0.016513705,0.49700597,0.502994
79,0.010939216,0.0035603642,0.0070956945,0.016453743,0.49725208,0.5027479
80,0.011136984,0.0038320124,0.0070400834,0.016347587,0.49716973,0.5028302
81,0.011633372,0.0040924847,0.0069712996,0.016221464,0.49715015,0.5028498
82,0.01135776,0.0037966967,0.007029712,0.016332269,0.49702668,0.5029733
83,0.011585092,0.0039723217,0.0069895387,0.016254127,0.49699053,0.5030095
84,0.011839366,0.003998965,0.0069717765,0.016225934,0.4970344,0.50296557
85,0.011584973,0.0036800504,0.007033944,0.016346514,0.4969893,0.50301063
86,0.011511898,0.0039325655,0.006997168,0.016265333,0.49685127,0.50314873
87,0.011350846,0.0034257174,0.007088363,0.016450226,0.49705663,0.5029434
88,0.011236405,0.0031395257,0.0071403384,0.016556442,0.49712688,0.50287306
89,0.011188244,0.0032163262,0.007129371,0.016531706,0.4970394,0.50296056
90,0.011374449,0.003115356,0.007136047,0.01655227,0.49713168,0.5028683
91,0.011456704,0.003154546,0.0071237683,0.016530037,0.49707675,0.50292325
92,0.011111831,0.003240019,0.0071270466,0.01652193,0.49687666,0.50312334
93,0.011309003,0.003145486,0.007134557,0.016544223,0.49707493,0.50292504
94,0.012282705,0.002558887,0.0071778297,0.016676247,0.49759173,0.50240827
95,0.011337733,0.002673328,0.00719887,0.016683757,0.49680412,0.5031959
96,0.010967946,0.002622664,0.0072291493,0.01672417,0.4967249,0.5032751
97,0.010848021,0.0027812421,0.007215202,0.016690314,0.49687868,0.5031213
98,0.01088283,0.0029134154,0.0071959496,0.016655028,0.49706218,0.5029378
99,0.010746932,0.0029924512,0.007191658,0.016644299,0.49708828,0.5029117
100,0.010696268,0.0032802522,0.007148683,0.01655382,0.497036,0.502964
101,0.010964965,0.0033887923,0.0071187615,0.016502738,0.4971726,0.5028274
102,0.011003112,0.0031979084,0.0071468353,0.016564488,0.4972296,0.5027704
103,0.011149859,0.0032766163,0.0071243644,0.016522527,0.49715358,0.5028464
104,0.011408662,0.0043725967,0.0069347024,0.016132176,0.49676526,0.50323474
105,0.011480188,0.0043154955,0.006943047,0.016150534,0.49692503,0.50307494
106,0.01154623,0.0039930046,0.006991744,0.016257703,0.49713218,0.5028678
107,0.011573171,0.0036925972,0.0070361495,0.016353786,0.49717283,0.50282717
108,0.011418557,0.0036728978,0.0070444345,0.016364336,0.49699336,0.50300664
109,0.011468744,0.0035527945,0.0070608854,0.016398668,0.4970232,0.50297683
110,0.011438822,0.0033303797,0.0070977807,0.016474605,0.49707037,0.5029296
111,0.011488652,0.0032859445,0.007101357,0.016483724,0.49705592,0.5029441
112,0.011266684,0.0034929216,0.0070788264,0.01642692,0.49686664,0.50313336
113,0.011511898,0.0034453273,0.0070759654,0.016429603,0.49705416,0.50294584
114,0.011350846,0.0030377507,0.0071495175,0.016579688,0.49713773,0.5028623
115,0.011149263,0.0028906167,0.0071825385,0.01664102,0.49705777,0.5029422
116,0.010770893,0.0032444596,0.0071451664,0.016546309,0.49680594,0.50319403
117,0.011554455,0.003116876,0.0071291924,0.01654321,0.49729678,0.5027032
118,0.011284089,0.0030798018,0.007145524,0.016570807,0.49709114,0.5029088
119,0.011321759,0.0030327737,0.007150054,0.01657939,0.49704856,0.50295144
120,0.011262512,0.0031166375,0.0071392655,0.016553342,0.49697536,0.50302464
121,0.011333322,0.0031566322,0.007130027,0.016536117,0.49701822,0.5029818
122,0.011628723,0.0026666224,0.0071941614,0.01668322,0.49729937,0.5027006
123,0.010860061,0.0030424595,0.0071692467,0.016601086,0.49673668,0.50326335
124,0.011722779,0.0027688146,0.0071730614,0.01663959,0.49728593,0.50271404
125,0.011236047,0.0028392076,0.007183194,0.01664555,0.49696395,0.503036
126,0.010899281,0.0025176704,0.0072547793,0.016778886,0.49698213,0.50301784
127,0.011078453,0.0028654635,0.007190287,0.016651332,0.4970094,0.5029906
128,0.011616444,0.0025582314,0.007213056,0.016722083,0.4973539,0.5026461
129,0.010894036,0.0028280318,0.0072023273,0.016672313,0.49682477,0.5031752
130,0.011039829,0.002740115,0.007212639,0.016695619,0.49702373,0.50297624
131,0.01107428,0.002726674,0.007214308,0.016702712,0.4971179,0.50288206
132,0.010883426,0.0033587515,0.0071214437,0.016501486,0.4968355,0.50316447
133,0.010815358,0.0030389726,0.0071808696,0.016622841,0.4970968,0.5029032
134,0.010929083,0.0036403835,0.0070786476,0.016415894,0.4969939,0.5030061
135,0.0111398455,0.003596723,0.007076323,0.016420126,0.49715856,0.5028414
136,0.011134481,0.0035676658,0.007080078,0.016429484,0.4971327,0.5028673
137,0.010957932,0.003737837,0.0070610046,0.016381681,0.49696425,0.5030357
138,0.011586523,0.0041612685,0.006962836,0.016198575,0.49707732,0.5029227
139,0.011510229,0.0038964748,0.007007301,0.016290367,0.4970951,0.50290495
140,0.011634445,0.0038285255,0.0070100427,0.016300201,0.49707624,0.5029238
141,0.011543727,0.00396049,0.006992042,0.016257644,0.49691147,0.50308853
142,0.011480784,0.003625363,0.0070493817,0.01637423,0.49702683,0.50297314
143,0.011523819,0.0035116076,0.0070649385,0.016409278,0.49706894,0.50293106
144,0.011450743,0.0032572448,0.0071085095,0.01649785,0.49708316,0.5029168
145,0.011467075,0.0032251477,0.007111609,0.016504347,0.49703953,0.50296044
146,0.011297202,0.003267765,0.0071130395,0.016499698,0.49693453,0.50306547
147,0.011200881,0.0030326843,0.007157564,0.01658851,0.49704012,0.5029599
148,0.0113352295,0.0029714704,0.007160723,0.016601622,0.49713045,0.50286955
149,0.011161661,0.0030640364,0.0071535707,0.016580224,0.49699044,0.50300956
150,0.011185026,0.0031546652,0.00713861,0.016548753,0.49699777,0.5030022
151,0.011289334,0.0029423237,0.007168472,0.016616106,0.4971526,0.50284743
152,0.01121459,0.0029355884,0.0071721077,0.01662165,0.4970766,0.5029234
153,0.012019133,0.0024476945,0.007208407,0.016729236,0.4974713,0.50252867
154,0.011411047,0.0025577545,0.007214606,0.016718388,0.4968879,0.5031121
155,0.010907149,0.0028571486,0.0071936846,0.016647696,0.49660945,0.50339055
156,0.011144375,0.0026873052,0.007216096,0.016703427,0.49705493,0.502945
157,0.0109274145,0.0027574897,0.007217169,0.016702354,0.49705875,0.50294125
158,0.011826491,0.0022975802,0.0072454214,0.016799688,0.49756145,0.50243855
159,0.011233186,0.0021709502,0.0072894096,0.0168702,0.49706188,0.5029381
160,0.01103518,0.0020671785,0.00731647,0.016912222,0.4969361,0.50306386
161,0.010547971,0.002507031,0.0072722435,0.01679802,0.4967063,0.50329375
162,0.011048054,0.0023990571,0.0072702765,0.016814351,0.49721283,0.5027872
163,0.0113864895,0.003010869,0.007151127,0.01658392,0.4971145,0.50288546
164,0.011138177,0.0029877126,0.0071667433,0.016606927,0.4969889,0.5030111
165,0.010853386,0.0025444925,0.0072554946,0.016780734,0.49709576,0.5029042
166,0.010841822,0.0026223063,0.007243991,0.016756833,0.49709982,0.50290024
167,0.010617947,0.0027695894,0.007232368,0.016723573,0.49700326,0.50299674
168,0.0110065695,0.0036836565,0.0070661306,0.016390383,0.4969125,0.50308746
169,0.011221623,0.0038567781,0.0070299506,0.016324282,0.49705368,0.5029463
170,0.011728143,0.003560394,0.007050991,0.01639092,0.49734733,0.5026527
171,0.0110527035,0.0032750964,0.0071267486,0.016524494,0.49700138,0.50299865
172,0.011397934,0.0034024715,0.007088721,0.016454041,0.4970502,0.5029498
173,0.011590576,0.0034506917,0.0070703626,0.016422868,0.49706784,0.50293213
174,0.010935878,0.0037695765,0.007052183,0.016358316,0.49668708,0.5033129
175,0.011195755,0.00384444,0.007032335,0.016325176,0.49697858,0.5030214
176,0.011279678,0.0038775802,0.0070242286,0.016315699,0.49710542,0.5028946
177,0.011297202,0.0036630034,0.0070568323,0.016386867,0.49717134,0.50282866
178,0.011087632,0.0035060048,0.007090986,0.016450465,0.49707395,0.50292605
179,0.011146521,0.0034966469,0.0070892572,0.016447484,0.49707165,0.5029284
180,0.011482095,0.0038956702,0.0070077777,0.016288877,0.49702245,0.5029776
181,0.011486864,0.0037926435,0.0070234537,0.01632154,0.4970338,0.50296617
182,0.011756515,0.0036949217,0.007024348,0.0163337,0.4971194,0.5028806
183,0.01169393,0.0037709475,0.0070129037,0.016307056,0.49695626,0.5030437
184,0.011537051,0.0031740367,0.007116437,0.016516626,0.49708357,0.50291646
185,0.011349892,0.0030232072,0.0071493387,0.016578138,0.49701622,0.5029838
186,0.011108255,0.0031220615,0.00714612,0.016560674,0.49689707,0.50310296
187,0.011220908,0.0031995475,0.007130146,0.016531289,0.49701267,0.5029873
188,0.010995483,0.003265828,0.0071321726,0.016528428,0.49697435,0.5030256
189,0.010901308,0.0033525825,0.0071249604,0.016510367,0.49700484,0.5029952
190,0.010944342,0.0034132004,0.0071147084,0.01649195,0.49708986,0.50291014
191,0.011020159,0.0034778714,0.0071007013,0.016467035,0.4971244,0.5028756
192,0.0109655615,0.0038593411,0.0070419908,0.016342044,0.49695975,0.50304025
193,0.011348819,0.003819406,0.0070302486,0.016331732,0.49716946,0.5028305
194,0.011591768,0.003902346,0.0070025325,0.016284406,0.4971443,0.5028557
