,mu1,mu2,sigma1,sigma2,pi1,pi2
0,0.0028865635,0.00087068975,0.011898935,0.005488813,0.49750504,0.502495
1,0.004991904,0.0016973168,0.0114222765,0.005215287,0.49557588,0.5044241
2,0.0036973953,0.0010217577,0.011428058,0.005199671,0.49632603,0.50367403
3,0.0033777952,0.00083734095,0.011451304,0.0052128434,0.4969065,0.5030935
4,0.0026055425,0.0005275756,0.011622071,0.0053162575,0.49824384,0.5017562
5,0.0038024932,0.0021491796,0.012151659,0.0056904554,0.4986986,0.5013014
6,0.0039234757,0.0025237352,0.01283288,0.006124139,0.49798504,0.502015
7,0.0024739802,0.001743272,0.013292491,0.006384611,0.4979573,0.5020427
8,0.00088752806,0.0007657558,0.013436019,0.0064368844,0.49809685,0.5019032
9,0.00089393556,0.00050769746,0.013072252,0.0061912537,0.4974062,0.5025938
10,0.002523169,0.00093992054,0.012238741,0.0056824684,0.4961721,0.5038279
11,0.0024157912,0.0010340363,0.0121122,0.005612254,0.49705267,0.50294733
12,0.0014609545,0.0005054623,0.012302637,0.0057240725,0.49840003,0.50159997
13,0.0019901693,0.0005668849,0.012192786,0.0056598783,0.49799538,0.5020046
14,0.0036711544,0.0014237314,0.011887372,0.0054963827,0.49711078,0.50288916
15,0.003711626,0.0018900782,0.012324631,0.005782187,0.49751312,0.5024868
16,0.0028275698,0.0014047176,0.012596607,0.0059325695,0.49739397,0.50260603
17,0.004061356,0.0020043105,0.012356043,0.005780041,0.49482995,0.50517005
18,0.00254488,0.0009522587,0.011909604,0.005474627,0.495858,0.504142
19,0.004202336,0.0019521266,0.011729658,0.0053850412,0.49436173,0.50563824
20,0.0030585974,0.0041032284,0.012742877,0.0060666203,0.49726394,0.50273603
21,0.0031500906,0.004445955,0.013476193,0.006572008,0.49913082,0.50086915
22,0.0041753054,0.006745532,0.014896214,0.007593751,0.49976566,0.5002343
23,0.0014529824,0.0055701584,0.016606867,0.008728385,0.5012395,0.49876052
24,-0.0018557012,0.0033967346,0.01798135,0.009588659,0.5016777,0.4983223
25,-0.0046997666,0.0010084659,0.018199563,0.009620249,0.5018578,0.49814218
26,-0.0051870197,-0.0002975315,0.017247021,0.008890212,0.5007848,0.49921522
27,-0.00064381957,-0.000108227134,0.013849974,0.006670952,0.4986262,0.5013738
28,0.00043143332,-6.0245395e-05,0.012950659,0.006103933,0.49793985,0.5020601
29,0.0025189966,0.00023077428,0.011697948,0.0053496957,0.49739906,0.5026009
30,0.003086239,0.0005867332,0.011619806,0.0053102374,0.4970085,0.50299144
31,0.0034313798,0.00080789626,0.011546612,0.005269885,0.49670532,0.5032947
32,0.0033908486,0.0009509176,0.0116279125,0.005316913,0.49627462,0.5037254
33,0.0035369992,0.0010839254,0.011559188,0.0052761436,0.49605286,0.5039472
34,0.0038124174,0.001374349,0.0115814805,0.0052916408,0.49547237,0.5045277
35,0.0035149455,0.0012438148,0.011522174,0.005252242,0.49576998,0.50422996
36,0.0027905256,0.00075118244,0.011476457,0.0052196383,0.49697343,0.5030266
