,mu1,mu2,sigma1,sigma2,pi1,pi2
0,-0.00026652217,0.0050222427,0.006567955,0.010863423,0.7215483,0.27845174
1,-0.000749141,0.0050210506,0.0065704584,0.010871291,0.72168887,0.27831113
2,-0.0003780797,0.0046560317,0.006660998,0.010990322,0.7210645,0.27893546
3,-0.0002817288,0.0044745356,0.0068501234,0.011241376,0.71973944,0.28026056
4,-0.00082963705,0.004595652,0.006957531,0.011388063,0.7190982,0.2809018
5,-0.00079830736,0.0045936853,0.0071020126,0.011577487,0.71809304,0.28190696
6,-0.0010285974,0.004849151,0.007008016,0.011454046,0.7187281,0.2812719
7,-0.00077326596,0.0049469024,0.0066740513,0.011010051,0.7209599,0.27904007
8,-0.00050439686,0.004955426,0.006526351,0.010811985,0.72191715,0.27808288
9,-0.0005969703,0.0049377233,0.0065113306,0.010793209,0.7220565,0.27794346
10,-0.00043430924,0.004840687,0.0065641403,0.010863125,0.72163707,0.278363
11,-0.00061650574,0.004858747,0.0066450834,0.010971606,0.72112584,0.27887416
12,-0.0004529208,0.0050177723,0.006604314,0.010913551,0.72134495,0.278655
13,-0.00056309253,0.0050230175,0.006509602,0.010788798,0.72206527,0.27793473
14,-0.0003702268,0.005029753,0.0065427423,0.010830462,0.7217762,0.27822378
15,-0.0006952733,0.004983023,0.0065359473,0.010825396,0.7219315,0.2780685
16,-0.0008605197,0.0049072653,0.0066025853,0.010916114,0.7215286,0.27847144
17,-0.0005822852,0.0048728734,0.006621778,0.010939121,0.721315,0.27868497
18,-0.00059340894,0.0048201233,0.0066373944,0.010961413,0.7211905,0.27880946
19,-0.0004236251,0.004915431,0.006615877,0.010930359,0.72125727,0.2787427
20,-0.00049327314,0.0048712045,0.006586492,0.010893047,0.7214863,0.27851376
21,-0.00053872913,0.0049648434,0.0065541863,0.010849178,0.72172284,0.27827713
22,-0.0005271584,0.004970446,0.0065122247,0.010793269,0.7220219,0.27797818
23,-0.0007219985,0.0049213916,0.0065356493,0.01082629,0.72194755,0.27805248
24,-0.0003952831,0.004633382,0.006708741,0.011055768,0.7206757,0.27932432
25,-0.00065140426,0.0047282726,0.0067995787,0.011177361,0.72008693,0.27991304
26,-0.00078686327,0.004973069,0.0067647696,0.011129439,0.7203286,0.2796714
27,-0.000864096,0.0050427467,0.0066141486,0.010929942,0.7214109,0.27858916
28,-0.0006608367,0.0049824268,0.006503403,0.010781646,0.7221624,0.2778375
29,-0.0007906407,0.0049049407,0.006507814,0.010790408,0.7221664,0.27783358
30,-0.0008130893,0.004827991,0.0065512657,0.010849535,0.7218655,0.27813458
31,-0.00086628646,0.004826799,0.006519556,0.010808229,0.7221021,0.27789795
32,-0.0006663129,0.004816547,0.0065063834,0.010789275,0.7221243,0.2778757
33,-0.0006931573,0.0048319846,0.006508291,0.010791898,0.7221172,0.2778828
34,-0.0008805394,0.004794076,0.006514907,0.010803223,0.7221262,0.2778738
