,mu1,mu2,sigma1,sigma2,pi1,pi2
0,0.005212254,0.0032997876,0.008555293,0.025694847,0.877869,0.12213097
1,0.0064348644,0.005672887,0.008632302,0.025811136,0.87764287,0.12235717
2,0.004486031,0.0035923868,0.008558631,0.025639772,0.8777444,0.12225567
3,0.005934364,0.0031073838,0.008516967,0.025623024,0.8779459,0.12205405
4,0.004883296,0.0013628751,0.008402705,0.02540046,0.87851524,0.121484816
5,0.005642182,0.0017044693,0.008362174,0.025327384,0.87885225,0.12114771
6,0.0057084626,0.003195718,0.008394361,0.025333941,0.8787882,0.1212118
7,0.0048790043,0.003197983,0.008434296,0.025382876,0.8784593,0.121540755
8,0.0054927533,0.0028249174,0.008394718,0.025313616,0.87855744,0.12144252
9,0.0059284037,0.0035106689,0.008434892,0.025400937,0.87841594,0.12158401
10,0.005890197,0.0043091923,0.0085014105,0.02551788,0.87808037,0.12191967
11,0.005543298,0.0019800216,0.008357704,0.025251746,0.87857044,0.12142958
12,0.0056977337,0.0013820678,0.008387506,0.025378823,0.8785006,0.12149937
13,0.006217188,0.0027704388,0.008455098,0.025525868,0.87842745,0.121572495
14,0.0052982634,0.004039064,0.008565068,0.025699377,0.87796134,0.12203871
15,0.0049064225,0.0037893802,0.008577287,0.025712967,0.8777984,0.12220163
16,0.005724675,0.0036842376,0.008489966,0.025523067,0.8781794,0.121820614
17,0.007026381,0.006537035,0.0085968375,0.02568847,0.87776554,0.122234434
18,0.004411406,0.0039910227,0.008620441,0.025747418,0.8772952,0.12270478
19,0.008203811,0.006653622,0.008723378,0.02602309,0.8769975,0.1230025
20,0.0047095483,0.003001228,0.0086326,0.025854051,0.87721646,0.1227835
21,0.00639183,0.0034585148,0.008759141,0.026245713,0.876848,0.123152085
22,0.00557918,0.004803136,0.008803904,0.026280522,0.8769317,0.12306829
23,0.004238314,0.003677085,0.008719385,0.026074886,0.87726986,0.12273016
24,0.0051074093,0.0038722306,0.00863719,0.025891364,0.87768775,0.122312225
25,0.0041832393,0.0033917576,0.008566916,0.025697947,0.87799054,0.122009456
26,0.004976279,0.003562346,0.008482933,0.025508463,0.87837464,0.12162539
27,0.005299396,0.0016983896,0.0081985,0.024879694,0.87955123,0.12044883
28,0.005360133,0.0018030554,0.008235812,0.02496159,0.87929684,0.12070314
29,0.0060311025,0.00015820563,0.008057177,0.024610758,0.88006324,0.11993671
30,0.0062283343,0.0016549975,0.008224249,0.024976969,0.8793612,0.120638825
31,0.0057051247,0.0023298413,0.008315802,0.025150478,0.8789251,0.121074855
32,0.006264693,0.0031791478,0.008392215,0.025321245,0.87857807,0.121421896
33,0.0058369106,0.0038088113,0.0085014105,0.025538623,0.87803584,0.12196418
34,0.0064420765,0.005018249,0.008616209,0.025787294,0.877536,0.12246398
35,0.005552179,0.0047947317,0.008690476,0.02594322,0.87712926,0.12287078
36,0.0054140156,0.003520742,0.008658111,0.025931,0.8772602,0.12273979
37,0.007667727,0.00700064,0.00875622,0.02610004,0.87709486,0.12290513
38,0.0051233238,0.006347969,0.008831561,0.026192784,0.87651896,0.12348101
39,0.0047637885,0.0038301498,0.008851528,0.026360571,0.87626284,0.1237371
40,0.007036454,0.005981639,0.0088605285,0.02640438,0.87662774,0.12337225
41,0.0054812497,0.0069143325,0.008866549,0.026296675,0.87661237,0.12338758
42,0.006117231,0.0075736195,0.008931696,0.026424944,0.8761538,0.12384612
43,0.004427678,0.004552141,0.008870721,0.026348412,0.87618476,0.123815246
44,0.007134921,0.0056688935,0.008820057,0.026306927,0.8766927,0.12330732
45,0.0042415326,0.00396432,0.008791864,0.026224673,0.8768214,0.12317857
46,0.0052955216,0.004802361,0.008841515,0.02636087,0.87673074,0.123269215
47,0.004660911,0.0019839555,0.008436143,0.025456846,0.87850577,0.12149429
48,0.0056620305,0.0027310401,0.008440435,0.025483847,0.8785884,0.121411644
49,0.004161424,0.0032246858,0.008522153,0.025590897,0.87817144,0.12182853
50,0.0052236384,0.0030340701,0.008392155,0.025309265,0.87874067,0.12125929
51,0.0050455397,0.0013368875,0.008179128,0.024831831,0.87958795,0.120412104
52,0.0071455305,0.002629295,0.008169651,0.024821818,0.8796594,0.12034061
53,0.00539524,0.0027476698,0.0083168745,0.025096178,0.87878376,0.12121623
54,0.0063020056,0.0018947273,0.00833863,0.0252347,0.8786304,0.121369585
55,0.006900317,0.0039669424,0.008502245,0.02558285,0.8780665,0.12193357
56,0.0060697263,0.0047874004,0.008628488,0.025819898,0.87747985,0.12252017
57,0.0055596894,0.00457485,0.008730292,0.026058912,0.8769442,0.12305578
58,0.005123622,0.0032493025,0.008706808,0.026068747,0.87709713,0.12290284
59,0.0058958596,0.0046061426,0.008717537,0.026079357,0.87729675,0.12270328
60,0.005024976,0.0048300773,0.008679569,0.025935471,0.8774743,0.12252571
61,0.0047838157,0.0044099838,0.008672297,0.025916278,0.87738997,0.12261008
62,0.0049171513,0.0021113306,0.008428752,0.025419593,0.8784028,0.12159719
63,0.0048874086,0.0011145622,0.008350849,0.025292277,0.8788487,0.12115136
64,0.0054013794,0.0022677928,0.008335412,0.025226891,0.8790767,0.12092327
65,0.004843897,0.0012836605,0.008185804,0.024861693,0.8796618,0.12033825
66,0.005426354,0.00055004656,0.008104861,0.024701774,0.8799318,0.12006821
67,0.0054212874,0.0005648881,0.008149087,0.024814248,0.8797258,0.1202742
68,0.005590624,0.001746431,0.008232355,0.024977148,0.87940615,0.12059377
69,0.005187935,0.0011138469,0.008174658,0.024840832,0.8796097,0.12039029
70,0.0062148636,0.0015688092,0.008157015,0.024807692,0.8796813,0.12031871
71,0.005170292,0.00046809018,0.008174837,0.024862766,0.8794957,0.1205043
72,0.0061500734,0.0017012507,0.008300185,0.02517277,0.8790411,0.12095894
73,0.0057256883,0.0031550676,0.008383572,0.025292754,0.87873113,0.121268936
74,0.00582189,0.0035408884,0.008402407,0.025312364,0.87855756,0.1214424
75,0.0051839417,0.002304867,0.008407533,0.025350034,0.8783811,0.12161896
76,0.0069355434,0.0043305308,0.008515239,0.025598764,0.8780521,0.121947885
77,0.0045936173,0.0027730018,0.008517861,0.025589526,0.87792313,0.12207691
78,0.0062129563,0.0033823997,0.008539915,0.025691152,0.87793064,0.12206937
79,0.0054633683,0.0035644323,0.008523941,0.025613666,0.8780512,0.121948734
80,0.005784399,0.003651455,0.008526623,0.025628507,0.8780184,0.12198156
81,0.0050656265,0.003572598,0.00858742,0.025749624,0.87770313,0.1222969
82,0.0060636466,0.0049563795,0.008627951,0.025823116,0.87761873,0.12238128
83,0.0050151413,0.0036600977,0.008534193,0.025602758,0.8779177,0.12208227
84,0.006514496,0.0043788105,0.008546531,0.025657654,0.8778882,0.122111805
85,0.0054027503,0.0042873174,0.008606732,0.025761068,0.87755096,0.12244902
86,0.0057410663,0.0030042678,0.008539796,0.025678635,0.8778191,0.12218089
87,0.0055091446,0.0032271892,0.008585572,0.025787175,0.8777249,0.12227515
88,0.006219811,0.0049393326,0.008612812,0.025801599,0.87774295,0.12225702
89,0.005565292,0.005301073,0.00863874,0.025802791,0.8775064,0.12249363
90,0.0070418185,0.007547155,0.008795083,0.026114404,0.8767527,0.12324734
91,0.0046505397,0.005185917,0.008849859,0.02626121,0.87623227,0.12376767
92,0.0060693687,0.0037737042,0.008773625,0.026232123,0.87669104,0.123308964
93,0.00615508,0.0048538,0.008766353,0.026198566,0.8770343,0.12296571
94,0.005783445,0.005284205,0.008707762,0.026005983,0.8772921,0.12270789
95,0.0056314534,0.0056252033,0.008780062,0.026142538,0.8768498,0.12315025
96,0.0049638217,0.005005732,0.008845985,0.026307464,0.8764954,0.1235046
97,0.0056532687,0.0059459955,0.0088838935,0.026399791,0.8764919,0.12350804
98,0.0043997234,0.0038571507,0.00868696,0.02596885,0.8773131,0.12268693
99,0.0058152145,0.003936544,0.008566558,0.025724232,0.8779162,0.122083806
100,0.0055174297,0.0022034794,0.008330405,0.02519381,0.8788996,0.12110039
101,0.0057634776,0.0032363087,0.008479655,0.025531113,0.8782312,0.12176884
102,0.0052921837,0.0039832145,0.008564353,0.025680363,0.8778531,0.122146845
103,0.005477614,0.0037757307,0.008521736,0.025590181,0.87802577,0.12197424
104,0.0056121415,0.0028362423,0.00840807,0.025351286,0.8784823,0.12151773
105,0.0062566465,0.0033914,0.008437157,0.025423884,0.8783773,0.121622674
106,0.0050734943,0.002663806,0.008476973,0.025510669,0.87812215,0.121877804
107,0.0062733954,0.0035032183,0.00851357,0.02562046,0.8780731,0.12192694
108,0.005318827,0.0038733631,0.008559167,0.02567619,0.8778765,0.122123495
109,0.005743987,0.003982261,0.008551717,0.025666356,0.8778858,0.12211418
110,0.0052736467,0.0034932047,0.008544266,0.025647461,0.877868,0.12213196
111,0.0056815213,0.0035863668,0.008542359,0.025660217,0.8779177,0.122082286
112,0.00543142,0.0034639984,0.008519888,0.025602102,0.8780363,0.121963665
113,0.005731291,0.0037794262,0.008520424,0.025599718,0.8780467,0.12195333
114,0.005847222,0.0043404847,0.0085430145,0.02562356,0.8779184,0.12208156
115,0.0057814186,0.004037991,0.0085555315,0.025661767,0.8777872,0.12221289
116,0.006659395,0.0060254484,0.008695364,0.02593875,0.87720805,0.122792006
117,0.0046238964,0.003527239,0.008656085,0.025883317,0.87719536,0.12280458
118,0.0062958663,0.003855303,0.008659661,0.025963306,0.8773405,0.1226595
119,0.0057017272,0.0040934235,0.008624375,0.025856256,0.8776352,0.122364864
120,0.004998631,0.0037223846,0.008636296,0.02587521,0.8775365,0.12246348
121,0.005371756,0.003960207,0.008624136,0.025844216,0.8776216,0.12237843
122,0.00507564,0.003918186,0.008590043,0.025749385,0.877794,0.122205935
123,0.005237884,0.003748551,0.008535206,0.025625706,0.8780256,0.12197445
124,0.0052792495,0.0031693727,0.008450925,0.025437593,0.8783561,0.12164397
125,0.0052397316,0.0024713427,0.008399606,0.025339603,0.87854505,0.12145495
126,0.00566811,0.0011849552,0.00826329,0.025082469,0.8791717,0.12082832
127,0.0058865016,0.0026731044,0.0083658695,0.025281668,0.878802,0.12119801
128,0.005088932,0.0023454577,0.00836277,0.025252342,0.8787506,0.121249355
129,0.0063728755,0.0036150366,0.008402228,0.025333703,0.8785977,0.12140235
130,0.004669375,0.0021367222,0.00840497,0.025337398,0.87842965,0.121570334
131,0.0060452884,0.0026211292,0.008428335,0.025439262,0.8784246,0.121575385
132,0.0057177013,0.003183499,0.008420706,0.02538395,0.8785346,0.12146537
133,0.005419082,0.0028749853,0.008420825,0.025381148,0.8784525,0.12154748
134,0.0061120456,0.0036099106,0.008465767,0.025477052,0.8782465,0.12175355
135,0.0061532324,0.0047350675,0.008569658,0.025677979,0.8777797,0.12222031
136,0.0065680807,0.006509021,0.008717954,0.025960445,0.8770811,0.1229189
137,0.004766411,0.0038258582,0.008701742,0.025976777,0.87691915,0.12308078
138,0.0062924093,0.003944829,0.0087201595,0.026106954,0.87702656,0.12297342
139,0.0058207577,0.003649667,0.008622527,0.025885582,0.87764287,0.1223571
140,0.004707343,0.003384903,0.008663893,0.025961697,0.87745607,0.12254398
141,0.005279488,0.0040195137,0.008638203,0.02588582,0.87764794,0.122352034
142,0.0052551096,0.00438489,0.008566499,0.025679052,0.8779766,0.122023374
143,0.004923231,0.0041071326,0.0085555315,0.02564019,0.8779098,0.122090235
144,0.0051556295,0.0033386499,0.008493543,0.02552414,0.8781128,0.12188721
145,0.006115145,0.0034036785,0.008403361,0.025331974,0.8785498,0.12145017
146,0.006126887,0.0023774654,0.0082986355,0.02511388,0.87894464,0.12105538
147,0.0056076115,0.0023967773,0.008437514,0.025443792,0.8782665,0.12173345
148,0.006465859,0.003887251,0.00851953,0.025616884,0.87803024,0.12196973
149,0.0051910346,0.0032470375,0.008542895,0.02565974,0.87788343,0.12211653
150,0.0057507223,0.004074231,0.008628607,0.02586025,0.8775575,0.12244255
151,0.0054257577,0.004361227,0.008620024,0.025809467,0.8776262,0.12237384
152,0.005411274,0.003782168,0.0085532665,0.025667667,0.87787396,0.12212606
153,0.005578465,0.0038194805,0.0085580945,0.02568239,0.877846,0.122153945
154,0.0052730506,0.0035826117,0.008559167,0.025685847,0.8778359,0.122164086
155,0.0056420034,0.0031407028,0.008473337,0.025509834,0.8782387,0.121761315
156,0.005534596,0.0029797107,0.008461833,0.0254879,0.87830037,0.121699594
157,0.0060069626,0.004348293,0.008536041,0.025619745,0.8780036,0.121996395
158,0.006159908,0.004964605,0.008553922,0.025624812,0.87785405,0.12214598
159,0.0055612987,0.004589215,0.008639038,0.025819898,0.8773238,0.12267614
160,0.005694217,0.0038104206,0.008650005,0.025901616,0.87727773,0.12272224
161,0.0055916375,0.0031533986,0.008601487,0.025832415,0.87761503,0.122384906
162,0.005675978,0.0035749823,0.008580685,0.025773525,0.877833,0.122167
163,0.00522638,0.003619805,0.008572042,0.025731206,0.8778765,0.12212344
164,0.005729682,0.004739478,0.008612871,0.02578789,0.8777044,0.122295626
165,0.0045718616,0.003512457,0.008583844,0.025722027,0.8777077,0.12229231
166,0.00543297,0.0036215335,0.008572936,0.025731623,0.87781864,0.122181304
167,0.0054606264,0.0032666475,0.008450508,0.025445938,0.8784087,0.12159136
168,0.0055715507,0.0022688657,0.008320034,0.02516365,0.8789206,0.12107943
169,0.0057518547,0.0022770315,0.008347988,0.025236487,0.8787603,0.121239744
170,0.0059173172,0.0031184107,0.008435607,0.025423825,0.87840164,0.121598415
