,mu1,mu2,mu3,sigma1,sigma2,sigma3,pi1,pi2,pi3
0,0.0023820074,-0.0013372502,0.000412412,0.054029107,0.027265549,0.010814965,0.006692156,0.079633415,0.9136745
1,0.0012991698,-0.0013691685,0.0005611554,0.05442232,0.027560234,0.010955393,0.0067723435,0.08007349,0.9131542
2,-0.0005787937,-0.0017818413,0.00078029186,0.05500436,0.028010547,0.011169434,0.006891324,0.08069844,0.91241026
3,0.0052610906,0.00047833705,0.00013849884,0.054870248,0.027683437,0.011030316,0.0068464116,0.08065522,0.9124984
4,0.004445997,-0.0006720624,0.00018904358,0.053969324,0.027143002,0.010763228,0.006673211,0.079593234,0.9137336
5,0.006720272,-0.0006759069,-0.00013907999,0.05098349,0.025186121,0.009817839,0.0061072377,0.07627419,0.9176185
6,0.0024476321,-0.0018731258,0.00036830455,0.052280724,0.026159108,0.010274649,0.006361515,0.077673756,0.91596466
7,0.0011832388,-0.0016352735,0.00054306537,0.05339563,0.026914895,0.010637343,0.0065780967,0.0789342,0.91448766
8,0.0010602148,-0.001349052,0.0005743876,0.05425757,0.027467728,0.01090759,0.0067431065,0.07990033,0.91335654
9,0.0028968127,-0.00079061603,0.00035629421,0.054112434,0.027300954,0.010832369,0.0067089056,0.07976242,0.9135287
10,-0.0016412465,-0.0027364395,0.0008271709,0.054008007,0.027419984,0.010873377,0.006703054,0.07955606,0.9137409
11,-0.0003261296,-0.001894494,0.00067380816,0.053893507,0.027297616,0.010815859,0.006679876,0.079481766,0.9138383
12,-0.00080552977,-0.0023097,0.0007024184,0.053640127,0.027156353,0.010744631,0.0066325297,0.0791801,0.9141874
13,0.001224068,-0.0010434887,0.0005206242,0.05528736,0.028122127,0.011228025,0.0069410214,0.08104422,0.9120148
14,-0.0001284806,-0.0017197928,0.00067505985,0.05560994,0.028382957,0.011353195,0.0070059397,0.081355855,0.91163826
15,-0.0016987054,-0.0019535623,0.00087533146,0.05632758,0.028911471,0.011609077,0.007151603,0.082130596,0.9107178
16,-0.00527105,-0.003205677,0.0012630001,0.056124806,0.028936386,0.011605918,0.0071260342,0.081860855,0.9110131
17,5.9274025e-05,-0.0009766719,0.0006714836,0.05584073,0.028528094,0.011423051,0.0070545445,0.08166403,0.9112814
18,-0.005757722,-0.0034936867,0.0013002828,0.05645883,0.029174507,0.011722088,0.0071919677,0.08220456,0.9106034
19,-0.002315971,-0.0015106401,0.00094325095,0.05724299,0.029536366,0.011914372,0.0073368214,0.083159745,0.9095034
20,-0.008627626,-0.0043456457,0.0016089752,0.05688739,0.029581964,0.011911571,0.0072875186,0.082635276,0.91007715
21,-0.0014748899,-0.0010757647,0.00083018094,0.05705893,0.029383957,0.011839688,0.0072995224,0.08298926,0.9097112
22,0.0033564838,-0.000119497534,0.00028488785,0.05652219,0.028822184,0.011583447,0.0071716653,0.08242351,0.9104048
23,0.0031318935,-0.00047223782,0.00033629686,0.05697435,0.02911532,0.011732161,0.007256785,0.08287864,0.90986454
24,0.005254415,0.00026045227,0.00013876706,0.056274474,0.02857256,0.011472642,0.0071128174,0.08215437,0.9107328
25,0.00526121,-1.3043638e-05,0.00016088039,0.055291414,0.027942896,0.011162758,0.0069220606,0.08106857,0.91200936
26,0.005604473,-0.0002770326,0.00010544807,0.053474426,0.026780307,0.010592103,0.006575123,0.079064235,0.91436064
27,0.00363293,-0.0006808243,0.00034908205,0.05410409,0.027257204,0.010818601,0.0067019174,0.07974624,0.91355187
28,0.0026043924,-0.0014581583,0.00040201098,0.052352786,0.026197076,0.010294437,0.006375909,0.077781275,0.9158428
29,0.0041709216,-0.000700464,0.00021869689,0.052497745,0.026229382,0.010314405,0.0063993516,0.07798072,0.91561997
30,0.0060987147,-0.000978013,-8.53464e-05,0.05015874,0.024699986,0.009580851,0.005958778,0.0753406,0.91870064
31,0.007443753,-0.00032504415,-0.00021459907,0.051059842,0.025206804,0.009830117,0.006119531,0.07637697,0.91750354
32,0.0041458877,-0.0012831888,0.00018272549,0.05243343,0.026188016,0.010295212,0.0063841133,0.077865265,0.9157506
33,0.0010528238,-0.0020009778,0.0005409792,0.052960157,0.026643395,0.010504842,0.0064949305,0.078429505,0.91507554
34,-0.0007137386,-0.0020813844,0.0007588342,0.053908587,0.027318716,0.010827303,0.0066827624,0.07948575,0.9138314
35,0.002346483,-0.0008249185,0.0004163459,0.054035604,0.027276516,0.010817289,0.006697574,0.07968405,0.9136183
36,6.130058e-05,-0.0019711754,0.000645943,0.054273307,0.027519882,0.01092869,0.006748417,0.07988332,0.9133683
37,-0.00065002125,-0.002103915,0.00071091205,0.05424571,0.02753377,0.010931373,0.0067468276,0.07985304,0.9134001
38,0.0012432607,-0.0014605126,0.00049153715,0.05388117,0.027225554,0.010786772,0.0066714324,0.079482116,0.9138465
39,-0.0013375012,-0.0023560426,0.00078646094,0.054698944,0.027851462,0.011085212,0.006835268,0.08033561,0.91282916
40,-0.0053163497,-0.003304889,0.0012489036,0.055858254,0.02876699,0.011520982,0.0070745815,0.08156737,0.91135806
41,0.0020792754,-5.7718717e-06,0.00046993047,0.05658865,0.028921127,0.01162678,0.0071927006,0.082520135,0.91028714
42,0.0006955536,-0.0013646982,0.0005988851,0.056233108,0.028746426,0.0115376115,0.007122834,0.08204479,0.9108324
43,0.0012591751,-0.0012628636,0.0005256906,0.05541867,0.028200924,0.011269152,0.006963858,0.081166,0.9118701
44,0.00050505716,-0.0016320548,0.0006140247,0.05491954,0.027912915,0.0111243725,0.0068704947,0.08060575,0.91252375
45,-0.0028821556,-0.0024261675,0.001021482,0.05599934,0.028749347,0.011524618,0.0070919488,0.08175434,0.91115373
46,0.006483582,0.0010315278,-1.2747943e-05,0.054974437,0.027701378,0.011042476,0.006863159,0.08079774,0.91233915
47,0.005887416,-0.0002664826,2.4713576e-05,0.05415243,0.027199388,0.010796905,0.0067020706,0.07980617,0.9134918
48,0.007221845,0.00029368186,-0.000102452934,0.053937852,0.027008653,0.010708988,0.006657088,0.07959591,0.913747
49,0.007946637,0.00020859623,-0.00017677993,0.052732468,0.026221871,0.010328233,0.0064267926,0.07825696,0.9153162
50,0.0057705315,-0.0010356209,3.040582e-05,0.051135182,0.025310576,0.009877861,0.0061365617,0.076423734,0.9174397
51,0.0038723024,-0.0009364984,0.0002842322,0.052639365,0.026325703,0.010362685,0.006424992,0.078119345,0.9154557
52,0.0050333412,-0.0005409322,0.00013817102,0.05221516,0.026016235,0.010215223,0.006342713,0.07766869,0.9159886
53,0.003645626,-0.0012710891,0.0002585724,0.05203563,0.025958598,0.010181665,0.006313006,0.077433504,0.9162535
