,mu1,mu2,sigma1,sigma2,pi1,pi2
0,-0.00017772242,0.0007278919,0.014488101,0.0075377226,0.5002885,0.49971148
1,-0.00052700564,0.001419723,0.014903784,0.0077615976,0.5013854,0.49861458
2,-0.0008050017,0.0021902919,0.015330136,0.007994235,0.50241876,0.49758118
3,-0.0016653351,0.0026186705,0.015224695,0.007982194,0.49962968,0.5003703
4,-0.001658421,0.0024214983,0.015035152,0.007885277,0.49880856,0.50119144
5,0.0017740913,-0.002547741,0.01263535,0.0065330863,0.4956794,0.50432056
6,0.0022072978,-0.0024055839,0.012737393,0.006578207,0.4968641,0.5031359
7,0.0020665117,-0.0019438267,0.013088524,0.006757438,0.49846217,0.50153786
8,0.0016935058,-0.001311779,0.01346463,0.006960988,0.49941152,0.5005885
9,0.0014791675,-0.0011386871,0.0133968,0.006942034,0.49820343,0.50179654
10,0.0022168942,-0.0013628602,0.01326102,0.0068582892,0.4987995,0.5012005
11,0.002147276,-0.0014120936,0.013301253,0.0068757534,0.49908173,0.50091827
12,0.0016477294,-0.0007240176,0.013766885,0.0071198344,0.5005752,0.49942484
13,0.001134295,-0.00018018484,0.013877153,0.0072045326,0.4994142,0.5005858
14,0.0013596602,-0.00028336048,0.013703108,0.007116616,0.49873447,0.5012655
15,0.0014435239,-0.00022292137,0.013790846,0.007157922,0.49937478,0.50062525
16,0.0017655082,-0.00016349554,0.014094651,0.007291615,0.5019635,0.49803647
17,0.0010888167,0.0001398325,0.014101446,0.0073195696,0.5003937,0.49960634
18,0.0010426231,0.0009923577,0.014693499,0.0076241493,0.50290966,0.49709034
19,0.00019826367,0.0016713142,0.015027583,0.00782305,0.50254524,0.4974547
20,0.0010811277,0.0013411045,0.015216172,0.007878065,0.50570357,0.49429646
21,2.3264438e-05,0.0019637346,0.015317023,0.0079731345,0.50355107,0.49644896
22,-0.000859838,0.0022473931,0.015172243,0.007935822,0.500765,0.49923497
23,-0.0012077503,0.002398491,0.015155435,0.007940233,0.4999099,0.50009006
24,-0.001904171,0.0025871396,0.015336633,0.008040667,0.49986908,0.50013095
25,-0.0022627525,0.0029523969,0.015440762,0.00810802,0.49950844,0.50049156
26,-0.0011349134,0.0012666583,0.014595628,0.007621348,0.49883905,0.501161
27,-0.0015228204,0.0021272302,0.015076637,0.007887006,0.49988568,0.5001143
28,7.380918e-05,0.00027525425,0.014182746,0.0073699355,0.4996258,0.5003742
29,-0.0005094819,0.0009701252,0.014480114,0.007547617,0.4994283,0.5005717
30,0.0019810982,-0.0024408102,0.012668014,0.006548941,0.4960442,0.5039558
31,0.0019216128,-0.002514422,0.012443662,0.0064457655,0.49430546,0.50569457
32,0.0022124834,-0.0025503635,0.012503982,0.0064687133,0.4952259,0.5047741
33,0.0021613427,-0.0021957755,0.01298368,0.006698549,0.4982883,0.50171167
34,0.0019513555,-0.0014706254,0.013478935,0.0069555044,0.500271,0.49972898
35,0.0015505739,-0.0011355877,0.013481975,0.0069785714,0.4989806,0.5010194
36,0.0016326495,-0.00084990263,0.0135810375,0.0070343018,0.49927685,0.5007232
37,0.0018399544,-0.00097453594,0.013511896,0.00699383,0.49935308,0.50064695
38,0.0017764159,-0.0011437535,0.013374448,0.0069249272,0.4985932,0.5014068
39,0.0018657036,-0.0008351207,0.013529897,0.007006347,0.49930102,0.500699
40,0.0022619553,-0.00064080954,0.013699889,0.0070836544,0.50083166,0.49916837
41,0.0012632199,-0.00034344196,0.013737738,0.0071341395,0.4988267,0.50117326
42,0.0009617992,-3.325939e-05,0.013908148,0.0072292686,0.49903095,0.50096905
43,0.0011414476,-0.00058448315,0.013746142,0.007128656,0.4992149,0.5007852
44,0.0011373945,-0.00045067072,0.013825357,0.0071672797,0.49966416,0.5003358
45,0.0014765449,-0.00024676323,0.01396656,0.0072352886,0.5007582,0.4992418
46,0.0006667562,-0.00045335293,0.0135656,0.0070593953,0.4969612,0.50303876
47,0.0005555339,-0.0009047985,0.0134577155,0.0069915056,0.49694517,0.50305486
48,0.0002486296,-0.00083673,0.013488352,0.007012725,0.49660555,0.5033945
49,0.00025023893,-0.0009493232,0.013323963,0.0069316626,0.495692,0.504308
50,0.0018578358,-0.0028469563,0.012583971,0.006495774,0.4960373,0.5039627
51,0.0019160099,-0.0024996996,0.0128545165,0.0066334605,0.49743357,0.5025664
52,0.0016562529,-0.0021562576,0.013001025,0.006717384,0.49750262,0.5024974
53,0.001708407,-0.0018357635,0.013054132,0.0067528486,0.49740937,0.50259066
54,0.0016160794,-0.0017383695,0.012980342,0.006723881,0.49657038,0.5034296
55,0.0022957511,-0.0021876693,0.012916684,0.00666368,0.49810222,0.50189775
56,0.0021912642,-0.0016410351,0.013161719,0.006801188,0.4986087,0.5013913
57,0.0017757006,-0.0009537339,0.013617456,0.0070420504,0.50005203,0.499948
58,0.0014993139,-0.00048142672,0.013777196,0.0071394444,0.49986172,0.50013834
59,0.0017152615,-0.00060606,0.013574064,0.007040322,0.49887267,0.50112736
60,0.0017888136,-0.0011442304,0.013126016,0.0068140626,0.49665526,0.5033447
61,0.0018871017,-0.0014839172,0.01290822,0.0066993833,0.49581823,0.50418174
62,0.0017684288,-0.0019240975,0.012671113,0.0065774918,0.49457446,0.5054256
63,0.0020054765,-0.0020895004,0.012666762,0.006564021,0.49528587,0.5047142
64,0.0014252849,-0.0017905235,0.012993455,0.0067330003,0.49636242,0.5036376
65,0.001759965,-0.0023825765,0.012696564,0.006570816,0.4956549,0.5043451
66,0.0022309013,-0.002606213,0.012607932,0.006514251,0.4961338,0.50386626
67,0.0020371266,-0.0025382042,0.012698293,0.006560087,0.4964484,0.5035516
68,0.0019741245,-0.0022428036,0.012883127,0.0066562295,0.4972223,0.50277764
69,0.0022186227,-0.0021147728,0.012926877,0.0066752434,0.4977841,0.50221586
70,0.0020419545,-0.0017687082,0.01312077,0.0067804456,0.49828765,0.5017123
71,0.0018670149,-0.0014704466,0.013210475,0.006835282,0.49815425,0.5018457
72,0.0018273182,-0.0013777614,0.013133943,0.0068072677,0.4972341,0.50276583
73,0.0019012876,-0.0018785,0.012714744,0.0065954924,0.49510732,0.50489265
74,0.0022020526,-0.0019949079,0.012711048,0.006584406,0.49577087,0.5042291
75,0.0024170466,-0.0014882088,0.013450563,0.006934941,0.500782,0.499218
76,0.001554925,-0.0008569956,0.013792038,0.0071291924,0.5007741,0.49922588
77,0.0010407753,-0.00040721893,0.013834119,0.007178426,0.49932462,0.5006754
78,0.0010715909,-0.0002952218,0.013797581,0.007165432,0.49892905,0.5010709
79,0.0007734485,-0.00013047457,0.013949692,0.007243693,0.49938464,0.5006154
80,0.000584919,0.00026839972,0.0142098665,0.007380545,0.5002625,0.49973747
81,0.00053055957,0.0004426837,0.014186025,0.007376671,0.49975696,0.500243
82,0.00033934787,0.00097209215,0.01450789,0.0075471997,0.5008035,0.49919656
83,0.00010694936,0.0016564727,0.014886379,0.0077543855,0.5017308,0.49826923
84,-0.000493031,0.0020633936,0.015014529,0.007842839,0.500896,0.499104
85,0.0020873733,-0.00048428774,0.013917804,0.0071913004,0.5018536,0.49814638
86,0.0013782568,-0.0004877448,0.013614118,0.0070672035,0.49850845,0.50149155
87,0.0012394376,-0.00032156706,0.013804972,0.007165432,0.49925727,0.50074273
88,0.00060619786,-0.00013548136,0.013982356,0.007263303,0.49927017,0.50072986
89,0.00058533624,0.00014871359,0.014133334,0.00734365,0.4998102,0.50018984
90,0.0010566898,0.00044453144,0.014511645,0.007516384,0.5027592,0.4972408
91,0.0003962703,0.0012186766,0.015035331,0.007800758,0.50380665,0.4961934
92,-0.000626903,0.0017617345,0.015038788,0.007846832,0.50121826,0.49878177
93,-0.0008680634,0.0022569299,0.01519984,0.007942319,0.50120896,0.498791
94,-0.001388412,0.002801299,0.015616417,0.008167028,0.5021479,0.49785212
95,0.00084449723,0.0006031394,0.014679253,0.007599294,0.50344026,0.49655974
96,-3.574416e-05,0.0012287498,0.014731646,0.007671237,0.50109226,0.49890777
97,-0.00027517602,0.0013527274,0.014561176,0.0076016784,0.49941057,0.50058943
98,-0.0008872561,0.0019152164,0.014974415,0.007825434,0.5002755,0.49972457
99,-0.0011565499,0.0023240447,0.015202701,0.007951617,0.50070214,0.49929786
100,0.0009160228,-0.00054454803,0.0137370825,0.0071263313,0.4989045,0.5010955
101,0.0006269403,-0.00040364265,0.013675213,0.0071061254,0.4978788,0.5021212
102,0.000964839,-0.00012135506,0.013798356,0.007170081,0.49867752,0.5013225
103,0.00039460137,0.0001193881,0.013941646,0.007252991,0.49848002,0.50152
104,-0.000117938966,0.0006713867,0.014236629,0.007420242,0.49873433,0.5012657
105,0.0018487163,-0.0017704368,0.013059676,0.006753862,0.4976265,0.5023735
106,0.0018419214,-0.0016240478,0.013089538,0.0067751408,0.49747792,0.50252205
107,0.0018547364,-0.001606524,0.013109446,0.006785929,0.49755463,0.5024454
108,0.0020763464,-0.0016887784,0.0130057335,0.006732583,0.497241,0.502759
109,0.0020850487,-0.0016745329,0.013041019,0.0067483783,0.49752533,0.50247467
110,0.0019788928,-0.0014624,0.01317662,0.006819129,0.4980275,0.5019725
111,0.0015511699,-0.0011077523,0.013230383,0.006866038,0.49705,0.50295
