,mu1,mu2,sigma1,sigma2,pi1,pi2
0,-0.0010744333,-0.0013153125,0.010971189,0.033177853,0.93587166,0.06412833
1,-0.0007047653,-0.0022703875,0.011012435,0.033266544,0.935652,0.06434801
2,-0.0006530285,-0.0028297473,0.011027753,0.033299148,0.9355554,0.06444461
3,-0.0006695986,-0.0014491845,0.010920167,0.033058584,0.93598217,0.06401781
4,-0.000723958,-0.00039763935,0.011134684,0.033562124,0.9354126,0.06458742
5,-0.0014992952,-0.00029210933,0.010835469,0.03286898,0.9363974,0.06360261
6,-0.0013865232,-0.0015435982,0.010887146,0.032981038,0.9361421,0.06385797
7,-0.0012960434,-0.002568977,0.010795414,0.032761753,0.93633777,0.063662246
8,-0.0016270876,-0.0025947262,0.0106649995,0.0324589,0.9367549,0.063245185
9,-0.0016225576,-0.0019888747,0.010670245,0.032474816,0.9367819,0.06321818
10,-0.0013947487,-0.0028144587,0.0108629465,0.032917976,0.9361148,0.063885234
11,-0.00063943863,-0.002900349,0.0109882355,0.03320819,0.93565965,0.06434037
12,-0.00042021275,-0.0028278697,0.011114478,0.033500314,0.9352657,0.06473421
13,-0.00080132484,-0.0025971103,0.010902107,0.033010185,0.93595916,0.06404079
14,-0.0009860992,-0.0025312472,0.010935664,0.033088446,0.9358789,0.06412111
15,-0.0008928776,-0.0029753018,0.010946929,0.03311205,0.9358008,0.06419926
16,-0.00054216385,-0.004229592,0.011057973,0.033361018,0.93534416,0.064655885
17,-0.00043022633,-0.0030333865,0.010965943,0.033156514,0.93569136,0.06430861
18,-0.00044977665,-0.0033875275,0.011217654,0.033736527,0.93490165,0.065098345
19,-0.00011706352,-0.002778368,0.0111624,0.0336141,0.9350729,0.064927064
20,-0.00021255016,-0.0039132703,0.011315525,0.033959508,0.9345391,0.06546089
21,0.0004323721,-0.00243433,0.01131928,0.033978403,0.9345718,0.0654282
22,-0.0002053976,-0.00063373335,0.011212766,0.033743083,0.93509406,0.064905986
