,mu1,mu2,mu3,sigma1,sigma2,sigma3,pi1,pi2,pi3
0,-0.0046652704,0.053407013,0.011432268,0.008757234,0.1784848,0.022868454,0.89219743,0.00045287402,0.10734966
1,-0.005319372,0.053474307,0.011328436,0.008795083,0.17872107,0.022956192,0.89203304,0.0004557138,0.10751135
2,-0.0052184016,0.053210974,0.010832287,0.0085475445,0.17679024,0.022421837,0.89335513,0.00043576304,0.10620917
3,-0.006419614,0.051837802,0.009648658,0.007863224,0.17115366,0.02095902,0.8971779,0.0003822224,0.10243987
4,-0.006143585,0.05026138,0.008721985,0.007155776,0.16513473,0.019406438,0.90126395,0.000329952,0.09840609
5,-0.0060852915,0.04987657,0.00911317,0.007151246,0.16510844,0.019403994,0.90126675,0.00032983755,0.098403394
6,-0.0054930598,0.04988289,0.0098609105,0.0073117614,0.16656846,0.019760728,0.9002643,0.00034182804,0.099393904
7,-0.0055898577,0.049414396,0.010318078,0.0073114634,0.16656941,0.019771338,0.90024376,0.00034204096,0.0994142
8,-0.0054161698,0.050409198,0.010871805,0.00772804,0.17013764,0.020681381,0.897825,0.000372967,0.10180204
9,-0.00609304,0.049588025,0.010195531,0.007357657,0.1669265,0.019876242,0.9000016,0.00034525545,0.09965316
10,-0.0061088353,0.04887104,0.009729482,0.0070459247,0.16419327,0.019187212,0.9018565,0.00032266328,0.097820885
11,-0.0058638006,0.050460756,0.010484435,0.0076643825,0.1695602,0.020542443,0.89822274,0.00036794896,0.10140933
12,-0.0056890994,0.051344752,0.0106848255,0.007965505,0.17207795,0.021190345,0.8965241,0.00039066127,0.10308536
13,-0.0049660355,0.054489374,0.011504091,0.009162962,0.18155742,0.023723066,0.8901219,0.00048562445,0.1093925
14,-0.004667416,0.05492419,0.011615492,0.009325743,0.18280321,0.02405876,0.8892832,0.0004991212,0.11021776
15,-0.0045692474,0.055169523,0.011812426,0.009470284,0.18388712,0.024361372,0.88854635,0.00051126117,0.110942364
16,-0.004578069,0.054474533,0.011819519,0.009232342,0.1821186,0.02386868,0.8897363,0.00049161207,0.10977209
17,-0.004982367,0.0539369,0.011627413,0.009018481,0.18046671,0.0234254,0.8908503,0.00047395992,0.10867578
18,-0.0045105964,0.054436088,0.011880018,0.009234071,0.18213838,0.023872614,0.8897214,0.0004918085,0.10978679
19,-0.0043997914,0.055432558,0.012306668,0.009721279,0.18575013,0.02488923,0.8872727,0.00053272216,0.11219451
20,-0.004135385,0.055404484,0.012531735,0.009768426,0.1861198,0.02498734,0.8870179,0.0005369407,0.11244511
21,-0.004874006,0.055360913,0.012211002,0.009701073,0.18556064,0.024853647,0.88739705,0.0005308495,0.11207212
