,mu1,mu2,sigma1,sigma2,pi1,pi2
0,0.0052651465,0.0012209415,0.0064976215,0.01567632,0.49835664,0.50164336
1,0.0049637556,-5.13494e-05,0.006442189,0.015621722,0.4979977,0.5020023
2,0.005118102,-0.00025171041,0.006422758,0.015595973,0.49791443,0.5020855
3,0.005312383,-0.0022334754,0.006324291,0.015489519,0.49733573,0.50266427
4,0.005907953,-0.0014322996,0.006342113,0.015496254,0.49752176,0.50247824
5,0.006447166,-0.0010245144,0.006335497,0.015470743,0.49759305,0.50240695
6,0.0066454113,0.00039562583,0.0063729286,0.015489578,0.49792352,0.5020765
7,0.0065808594,0.0010159016,0.006389141,0.015496373,0.49806845,0.5019316
8,0.006543666,0.00096586347,0.006370425,0.015465319,0.49801654,0.5019834
9,0.006179124,0.0006367862,0.0063619018,0.015461445,0.49791908,0.5020809
10,0.005826384,0.0015566349,0.0064322352,0.015553355,0.4982338,0.50176615
11,0.005017251,0.0017111897,0.006492913,0.01565206,0.49839023,0.5016098
12,0.0045766532,0.001314044,0.006521046,0.015712738,0.49839827,0.5016017
13,0.0044339895,0.00054991245,0.006503403,0.015707731,0.49823856,0.5017615
14,0.0045051277,0.0007330477,0.0065122247,0.015717268,0.4982937,0.50170624
15,0.0048231483,0.00071918964,0.0064911842,0.015681386,0.49825218,0.50174785
16,0.004984349,0.001200676,0.006498754,0.015678465,0.49835306,0.50164694
17,0.004648119,0.0010234118,0.006503403,0.015691996,0.49831912,0.50168085
18,0.0046164393,0.0016711652,0.0065400004,0.015733778,0.49851975,0.5014802
19,0.004672855,0.0015656054,0.0065285563,0.01571703,0.4984836,0.5015164
20,0.004585415,0.002417922,0.0065696836,0.01575923,0.4987235,0.5012765
21,0.0039387047,0.0013383925,0.006553173,0.015765846,0.49848342,0.5015166
22,0.0036064982,0.0005505383,0.006547749,0.015783608,0.49832818,0.5016718
23,0.0038857162,0.00041368604,0.006541848,0.015778601,0.49830416,0.5016958
24,0.0041280687,0.00038576126,0.006532252,0.015762925,0.4982831,0.5017169
25,0.0044537783,0.00045502186,0.0065141916,0.015729725,0.49825898,0.501741
26,0.0044167936,0.0002284646,0.006500542,0.015713632,0.49817944,0.50182056
27,0.004879564,8.955598e-05,0.006463349,0.015654624,0.49807805,0.50192195
28,0.005182296,0.00034540892,0.006451905,0.01562649,0.49809486,0.5019051
29,0.0054474175,0.00040146708,0.006430149,0.015587091,0.498053,0.501947
30,0.005145937,0.00011342764,0.0064327717,0.01560092,0.49799305,0.50200695
