,mu1,mu2,sigma1,sigma2,pi1,pi2
0,-0.005145818,0.0016175061,0.026833296,0.008950293,0.12751904,0.872481
1,-0.0041449964,0.0018250048,0.026696265,0.008902192,0.12741439,0.8725856
2,-0.0050257146,0.0020979792,0.02635324,0.008754134,0.12676859,0.8732315
3,-0.0064332634,0.003114365,0.025319278,0.008320153,0.124928646,0.87507135
4,-0.009979695,0.0037825555,0.024527669,0.007972419,0.12321697,0.8767831
5,-0.010769889,0.0038177297,0.02449131,0.007951021,0.12306644,0.8769336
6,-0.01100114,0.0035496503,0.024755418,0.008054733,0.12348153,0.8765185
7,-0.01077348,0.0035151392,0.02485466,0.008095324,0.12366848,0.8763315
8,-0.008913815,0.003068179,0.025355339,0.008312464,0.124703795,0.87529624
9,-0.009151429,0.0034774542,0.024982154,0.00815928,0.12405943,0.8759406
10,-0.010020152,0.0035539493,0.024877906,0.008110225,0.12378921,0.87621075
11,-0.007507175,0.002762571,0.025711298,0.008468509,0.12544365,0.87455636
12,-0.006109923,0.002332732,0.026163638,0.0086654425,0.12633555,0.87366444
13,-0.0026264042,0.0012291446,0.027338803,0.009181917,0.12860326,0.8713968
14,-0.0025337338,0.0010640696,0.027489305,0.009245694,0.12885022,0.8711498
15,-0.0023633093,0.0009652674,0.027601123,0.009293675,0.12904376,0.87095624
16,-0.0031487793,0.0011276007,0.02742362,0.0092122555,0.12867534,0.8713246
17,-0.0032608956,0.0013632551,0.027203143,0.009119332,0.12831588,0.8716841
18,-0.0029678345,0.0010329932,0.027535856,0.009260356,0.12887067,0.87112933
19,-0.0015139133,0.0006044358,0.028048754,0.00948751,0.12983194,0.87016803
20,-0.0014589876,0.00040523708,0.02827245,0.009581387,0.13018058,0.8698194
21,-0.00046168268,0.0005782321,0.028156042,0.00954169,0.13011703,0.869883
22,-0.00025837123,0.00063522905,0.028046846,0.009499133,0.12997636,0.87002367
23,-0.00017124414,0.00041436404,0.028232932,0.009578824,0.13027515,0.8697248
24,-0.00081676245,0.0005392432,0.028075099,0.009506583,0.1299577,0.87004226
25,-0.0013800412,0.0006428063,0.027946591,0.009447455,0.12969418,0.87030584
26,-0.002367735,0.0010997802,0.02745223,0.009231985,0.12881209,0.87118787
27,-0.0026864856,0.0011539087,0.027369142,0.009194791,0.12864637,0.8713537
28,-0.0042648166,0.0016358495,0.026842356,0.008962095,0.12763473,0.8723653
29,-0.00504525,0.0019210353,0.026547015,0.00883317,0.12707496,0.87292504
30,-0.0067685246,0.0027079582,0.025741637,0.008488119,0.12557966,0.87442034
31,-0.0065842867,0.002990961,0.025444627,0.008369505,0.12511697,0.87488306
32,-0.0073647797,0.002784118,0.025554001,0.008408487,0.12521188,0.8747881
33,-0.008417293,0.0028700083,0.02546835,0.008364201,0.12495091,0.87504905
34,-0.008615717,0.0027032122,0.025663614,0.008440971,0.12524484,0.87475514
35,-0.008207619,0.002859883,0.025583565,0.008410871,0.1251569,0.8748431
36,-0.007192552,0.002608873,0.025854409,0.008529782,0.12571293,0.87428707
37,-0.006587282,0.0025432706,0.025939584,0.008569777,0.12591961,0.87408036
38,-0.0063741505,0.0025745183,0.02590555,0.008557916,0.12588939,0.87411064
39,-0.00614661,0.0023906082,0.026071012,0.008627892,0.12618415,0.8738159
40,-0.0048044324,0.0013965368,0.027093649,0.009060264,0.12796733,0.87203264
41,-0.0016904175,0.0009859949,0.027658701,0.009322941,0.12920801,0.870792
42,-0.002016902,0.0010761991,0.027495801,0.009253204,0.1289202,0.8710798
43,-0.0030291826,0.0015097558,0.027008832,0.009042144,0.12804018,0.8719598
44,-0.0049113035,0.0018866137,0.026557624,0.00883925,0.12710892,0.87289107
45,-0.005049348,0.0018377602,0.026617467,0.008862317,0.12718749,0.8728125
46,-0.0053910613,0.0022525638,0.026212215,0.008692682,0.126499,0.87350094
47,-0.0058552176,0.0022657514,0.026151776,0.008664429,0.12635066,0.87364936
48,-0.0059915334,0.00220453,0.026210368,0.008687139,0.12642935,0.8735706
49,-0.006510392,0.002396308,0.026023388,0.008605838,0.12606771,0.8739323
50,-0.008906379,0.0032964423,0.025118113,0.008216977,0.12431487,0.8756851
51,-0.0074691176,0.0027124062,0.025701404,0.008466005,0.12543559,0.87456435
52,-0.0071792156,0.0027845204,0.025650263,0.008447528,0.1253845,0.8746155
53,-0.0066107363,0.002359122,0.026056767,0.008618534,0.12611018,0.8738898
54,-0.006880164,0.0025626197,0.025879025,0.008543134,0.12579021,0.8742098
55,-0.0069259256,0.0023712367,0.026064694,0.008618474,0.1260853,0.8739147
56,-0.005187556,0.0019840598,0.026518822,0.0088195205,0.12701131,0.8729887
57,-0.00474298,0.0017858744,0.02671814,0.008905768,0.12738031,0.8726197
58,-0.0044525564,0.001804255,0.026715755,0.0089072585,0.1274095,0.87259054
59,-0.004065305,0.0015503839,0.026968837,0.009015441,0.12785558,0.87214446
60,-0.0035261065,0.0016289055,0.02691263,0.008997083,0.12782852,0.87217146
61,-0.003924027,0.0016229004,0.026872694,0.008977592,0.1277216,0.8722784
62,-0.0035384893,0.0015350282,0.02696687,0.00902015,0.12791526,0.8720847
63,-0.0044455975,0.0015705228,0.026895404,0.00898242,0.1276983,0.8723017
64,-0.004234135,0.0016545951,0.026845038,0.008963048,0.12764129,0.8723587
65,-0.0054080635,0.002305895,0.026163459,0.008672476,0.12641828,0.87358177
66,-0.0059153438,0.0024625584,0.025960565,0.008585691,0.12603487,0.8739652
67,-0.007223293,0.0028554872,0.025530875,0.008399546,0.12518756,0.8748124
68,-0.007920578,0.0028029084,0.025552869,0.008402646,0.12514508,0.874855
69,-0.0087172985,0.0029923543,0.025384068,0.008326709,0.12477616,0.8752238
70,-0.007785037,0.0027508512,0.025661647,0.008446991,0.12533462,0.8746654
71,-0.007832348,0.0029692426,0.025462627,0.008365512,0.12500316,0.87499684
72,-0.0076289177,0.0029551908,0.025466025,0.008368969,0.1250328,0.8749672
73,-0.008758247,0.0033355206,0.025071383,0.008199632,0.12425511,0.8757449
74,-0.008656353,0.003120765,0.025269687,0.008280814,0.12459465,0.8754053
75,-0.0072355866,0.0022330359,0.026175857,0.008661449,0.12622993,0.8737701
76,-0.005557999,0.0020722449,0.02644056,0.008783698,0.12684266,0.8731574
77,-0.004523173,0.0019036904,0.02661401,0.00886476,0.12723957,0.8727605
78,-0.0049043447,0.001981549,0.02650559,0.008817136,0.12702419,0.8729758
79,-0.0052808523,0.0021427646,0.026334524,0.008743525,0.12670733,0.8732926
80,-0.00531967,0.0020228624,0.026439905,0.008786619,0.12687235,0.87312764
81,-0.004672736,0.0018489212,0.026633978,0.008872211,0.12725602,0.87274396
82,-0.004287347,0.0016634539,0.026819646,0.008952379,0.12759581,0.8724042
83,-0.004075587,0.0016011819,0.026888609,0.008982778,0.12772943,0.8722706
84,-0.0045193434,0.0016076416,0.026872098,0.00897181,0.12765193,0.87234807
85,-0.0062262565,0.0026400387,0.025839746,0.008532524,0.12579978,0.8742003
86,-0.006289616,0.0025489181,0.025875092,0.008547366,0.1258532,0.87414676
87,-0.00643605,0.0025733933,0.025834203,0.008529663,0.12577091,0.8742291
88,-0.007202342,0.0026291683,0.025749087,0.008488476,0.12554608,0.87445384
89,-0.007039055,0.002040185,0.026346385,0.008733392,0.12652755,0.8734725
90,-0.0064586103,0.0023820698,0.026112676,0.008641362,0.12621318,0.87378687
91,-0.0057763606,0.0020928085,0.02639252,0.008762419,0.1267421,0.8732579
92,-0.005372733,0.002312474,0.026201189,0.008687377,0.12648034,0.8735197
93,-0.0053578466,0.0021397695,0.026331007,0.008741498,0.12669311,0.87330693
94,-0.0058526695,0.0022743344,0.02619028,0.00867933,0.12641013,0.8735898
95,-0.0041745156,0.0014150739,0.027082145,0.009061575,0.12802264,0.8719774
96,-0.0033747554,0.001497373,0.027051747,0.0090559125,0.12806545,0.8719346
97,-0.0029931217,0.0012719333,0.027253032,0.009143531,0.12842825,0.8715718
98,-0.0034620762,0.0014969483,0.027011395,0.009039164,0.12799412,0.87200594
99,-0.0059333295,0.0022128,0.026231468,0.008695781,0.12646823,0.8735318
100,-0.005193591,0.0019557178,0.02651304,0.008817792,0.1270035,0.8729965
101,-0.0056355596,0.0021057874,0.026359618,0.008750677,0.12670696,0.8732931
102,-0.004544571,0.0017577931,0.026733339,0.008914173,0.12742841,0.8725715
103,-0.004809171,0.0020181686,0.026466548,0.008802056,0.126973,0.87302697
104,-0.0052537024,0.0021241307,0.02632624,0.008740902,0.1266988,0.8733012
105,-0.006608501,0.0023690015,0.026049912,0.008615732,0.12609918,0.87390083
106,-0.005649656,0.0020934418,0.026364803,0.008752763,0.12671405,0.8732859
107,-0.0056584775,0.0021390095,0.026322424,0.008735299,0.12664501,0.87335503
108,-0.0053052604,0.0020656213,0.02640158,0.008771002,0.12681246,0.87318754
109,-0.0056919456,0.002128467,0.026326537,0.008736789,0.12664813,0.87335193
110,-0.0056930482,0.0021684691,0.026296198,0.008724153,0.12659873,0.8734013
111,-0.00581564,0.0023328066,0.026130557,0.00865525,0.12631835,0.87368166
112,-0.006009549,0.0023352727,0.026105523,0.008643627,0.1262569,0.87374306
113,-0.0055790544,0.0021825433,0.026260853,0.008711159,0.12655656,0.87344337
114,-0.0056651533,0.0021600798,0.026273966,0.008715928,0.12656821,0.87343174
115,-0.006473914,0.0023052841,0.026116729,0.008644223,0.1262223,0.87377775
116,-0.0061118603,0.0018695146,0.02657926,0.008836508,0.12700322,0.8729968
117,-0.0050967187,0.0019740164,0.026562035,0.008837521,0.12708879,0.8729112
118,-0.0044832826,0.00188905,0.026637077,0.008874476,0.1272805,0.8727195
119,-0.004496321,0.0018127039,0.026694834,0.008898497,0.12737188,0.8726281
120,-0.0042696595,0.0018291995,0.02668327,0.008895814,0.12737967,0.8726204
121,-0.0038836002,0.0016677827,0.026830792,0.008960664,0.12765984,0.87234014
122,-0.003962025,0.0014174804,0.027068198,0.0090581775,0.1280264,0.87197363
123,-0.0035878867,0.0014135316,0.02710855,0.009077847,0.12813152,0.87186855
124,-0.0034755468,0.0012446418,0.02727735,0.009148896,0.12840983,0.87159014
125,-0.0038221925,0.0017307028,0.026798427,0.008947253,0.1276138,0.8723863
126,-0.005808234,0.0022822917,0.026169002,0.008671284,0.1263819,0.8736181
127,-0.005441487,0.002208501,0.026248872,0.008707285,0.1265524,0.8734476
128,-0.0053877085,0.0018902272,0.02654934,0.008831322,0.12704048,0.87295955
129,-0.005512953,0.0021642372,0.026307285,0.008730292,0.126637,0.873363
130,-0.005062565,0.0016156062,0.026846707,0.008956373,0.12754923,0.87245077
131,-0.004317194,0.001852639,0.026679754,0.008893549,0.12736733,0.8726326
132,-0.00525257,0.0020954385,0.026377141,0.008761346,0.12677917,0.8732208
133,-0.0051519126,0.0020143092,0.026456594,0.008794963,0.12691805,0.8730819
134,-0.0057104975,0.0020913854,0.026370108,0.008754313,0.12671535,0.87328464
135,-0.004238978,0.0014186427,0.02709198,0.009064794,0.12802975,0.8719702
136,-0.0036328435,0.0013981462,0.02716142,0.00909853,0.12820718,0.87179285
137,-0.0024392009,0.0006230697,0.027987897,0.009453416,0.12963103,0.870369
138,-0.001953885,0.0009606406,0.027714849,0.009343028,0.12926218,0.8707378
139,-0.00092995167,0.0009998009,0.027659893,0.009330869,0.12929893,0.87070113
140,-0.0027170628,0.0012908205,0.027248263,0.009144008,0.12845235,0.8715477
141,-0.0018751621,0.0010750145,0.027486324,0.009250939,0.12892278,0.87107724
142,-0.0025380403,0.0011036843,0.02740693,0.0092122555,0.12872377,0.8712762
143,-0.0030999333,0.0011397377,0.027358413,0.009186745,0.12858246,0.87141746
144,-0.0038653612,0.0014992952,0.026992738,0.009027779,0.12791835,0.87208164
145,-0.0052808374,0.002151765,0.026305974,0.0087322,0.12666269,0.87333727
146,-0.005863577,0.002098702,0.02632451,0.0087349415,0.12662679,0.8733732
147,-0.007954195,0.0030277818,0.025408685,0.0083425045,0.12490053,0.8750995
148,-0.0075507313,0.002874434,0.025547981,0.008402824,0.12517567,0.8748243
149,-0.0062830895,0.0024012476,0.026025534,0.008608699,0.1260971,0.8739029
150,-0.006940767,0.0025539622,0.025862515,0.008536339,0.12575796,0.87424207
151,-0.0063289404,0.0023338422,0.026098311,0.0086378455,0.12620881,0.8737912
152,-0.0064744204,0.0024119094,0.026025176,0.008606553,0.12607376,0.8739262
153,-0.0069249123,0.0026426092,0.025794148,0.008508265,0.12564772,0.8743522
154,-0.0068860054,0.00273256,0.025700152,0.008470476,0.12549965,0.87450033
155,-0.0065348595,0.0023871586,0.026022196,0.008605301,0.12606362,0.8739364
156,-0.0072577894,0.0027122423,0.025711238,0.008471727,0.1254754,0.8745246
157,-0.006665051,0.002285175,0.026136577,0.008650482,0.12623206,0.8737679
158,-0.0060750246,0.0022890568,0.02617997,0.008672893,0.12636745,0.8736326
159,-0.005741626,0.0021487474,0.026317358,0.008732319,0.12662691,0.8733731
160,-0.0054184496,0.001776725,0.026703298,0.008893549,0.12727933,0.8727207
161,-0.0045511425,0.0018087476,0.026738405,0.008915126,0.12743221,0.87256783
162,-0.0039968938,0.0017154515,0.026824951,0.008956313,0.1276347,0.8723653
163,-0.0035115033,0.0015555248,0.026977837,0.009024322,0.12793376,0.8720663
164,-0.002966687,0.001353994,0.027177215,0.009112239,0.12831196,0.87168807
165,-0.0035868436,0.0014038607,0.027097464,0.009073675,0.12811555,0.87188447
166,-0.0034611672,0.0014274046,0.027085245,0.009069622,0.12811033,0.87188965
167,-0.0044572055,0.0016538873,0.026825964,0.0089533925,0.12758623,0.87241375
168,-0.0041956306,0.0016910136,0.026807606,0.008948028,0.12758647,0.8724136
169,-0.0046284795,0.0018372536,0.026639402,0.008874953,0.12727016,0.8727299
170,-0.0061089993,0.002247125,0.026199639,0.008681059,0.12639646,0.87360346
171,-0.0056768656,0.002267085,0.026202083,0.008685708,0.12644923,0.87355083
172,-0.005551055,0.0020327345,0.026417017,0.008775294,0.12680963,0.87319034
173,-0.0051499754,0.0017954931,0.02668196,0.00888741,0.12727693,0.87272304
174,-0.0043217093,0.0014504567,0.027074635,0.009056509,0.12799188,0.8720081
175,-0.0038618892,0.0015282482,0.027036905,0.009044647,0.12798391,0.8720161
176,-0.0031410158,0.0014663488,0.027104914,0.009079754,0.12817524,0.87182474
177,-0.0033611804,0.0013865307,0.02715385,0.00909847,0.1282283,0.87177163
178,-0.0027483255,0.0011493042,0.027416289,0.009212911,0.12871021,0.8712898
179,-0.002423346,0.0010972023,0.02747655,0.009241104,0.1288421,0.87115794
180,-0.0026279092,0.00097446144,0.027587354,0.00928539,0.12899143,0.8710086
181,-0.0016456842,0.0005870536,0.028036773,0.009481788,0.12979972,0.8702003
182,-0.0017569512,0.0010210797,0.027601361,0.009298801,0.12911235,0.8708877
183,-0.0027973056,0.0015676022,0.026971996,0.009028792,0.12800796,0.87199205
184,-0.0044853985,0.0018595234,0.026588798,0.008856058,0.12720805,0.872792
185,-0.0049227625,0.0018083751,0.026632786,0.008870065,0.12722746,0.8727726
186,-0.0047137886,0.0017676651,0.026694477,0.008897126,0.1273487,0.8726513
187,-0.0053405315,0.0018817857,0.026569366,0.008839846,0.12707722,0.8729228
188,-0.005616024,0.0022916421,0.026179135,0.008676887,0.12641929,0.87358075
189,-0.0059046447,0.0022029206,0.026229143,0.008695304,0.12646848,0.8735315
190,-0.006708324,0.0023261905,0.026108146,0.008638263,0.12618062,0.87381935
191,-0.006908998,0.0024903715,0.025976598,0.008582115,0.12594318,0.8740568
192,-0.0054321587,0.0022582933,0.02624166,0.008703649,0.12653938,0.8734606
193,-0.004137665,0.0014762282,0.027017713,0.0090354085,0.12792578,0.8720742
194,-0.00402084,0.0017909035,0.026736319,0.0089197755,0.12749211,0.87250787
195,-0.0046869814,0.0019351542,0.026537716,0.008832693,0.12710164,0.87289834
196,-0.004956186,0.002072595,0.026385605,0.008767962,0.1268281,0.8731719
197,-0.0059191585,0.0022027344,0.026217163,0.008690536,0.1264483,0.8735517
198,-0.005250156,0.0019701645,0.026473343,0.008801401,0.12693502,0.87306494
199,-0.0059767365,0.0023763552,0.02605939,0.008625209,0.12618661,0.87381333
200,-0.007334411,0.0027855933,0.02561444,0.00843215,0.12531035,0.87468964
201,-0.007929549,0.002811104,0.025577307,0.008411884,0.12518199,0.874818
202,-0.007182911,0.0026191548,0.025801122,0.00850904,0.12563027,0.87436974
203,-0.008203894,0.0029984266,0.025421321,0.008345664,0.12489357,0.8751064
204,-0.006997347,0.002494745,0.025936961,0.0085657835,0.125871,0.874129
205,-0.0065020174,0.0024432093,0.026017308,0.008602679,0.1260564,0.8739436
206,-0.0057524145,0.0022395179,0.026228666,0.0086959,0.12648326,0.8735167
207,-0.006038159,0.0024568513,0.026002586,0.00860101,0.12608646,0.8739136
208,-0.0061352253,0.0022915602,0.026140213,0.0086568,0.12629879,0.8737012
209,-0.0053810924,0.0020090789,0.026447773,0.00878942,0.12687811,0.8731219
210,-0.0051145256,0.0018907115,0.026576698,0.008844674,0.12711427,0.8728857
211,-0.0055161268,0.0022090524,0.02626127,0.008711457,0.12656292,0.87343705
212,-0.0055869073,0.0021097884,0.02633822,0.00874269,0.12667945,0.8733205
213,-0.0055717975,0.002031751,0.026425421,0.008778393,0.12682019,0.87317985
214,-0.0058618486,0.00227388,0.026195168,0.008681178,0.12641665,0.8735834
215,-0.005733222,0.0022573993,0.02620238,0.00868547,0.12644376,0.87355626
216,-0.005649984,0.0021543428,0.026296794,0.008725047,0.12660548,0.8733945
217,-0.0050634295,0.0018561333,0.026609004,0.008858502,0.1271718,0.87282825
218,-0.0053932965,0.0021998212,0.02627498,0.008718133,0.12659894,0.873401
219,-0.005832538,0.0023558065,0.026085794,0.0086372495,0.1262456,0.8737544
220,-0.0063800514,0.0023145527,0.026100457,0.008638561,0.12620744,0.8737926
221,-0.005864233,0.0021624118,0.026282072,0.00871712,0.12655738,0.87344265
222,-0.0060608983,0.0021759272,0.02627021,0.008710384,0.12651543,0.8734846
223,-0.006109521,0.0021730363,0.026289403,0.008717477,0.1265396,0.8734604
224,-0.005246222,0.001892589,0.026604712,0.00885433,0.12714167,0.87285835
225,-0.00437963,0.0016309842,0.02690065,0.00898397,0.12771028,0.8722897
226,-0.0039003938,0.0016716123,0.026879132,0.00897938,0.12773117,0.8722688
227,-0.0039993525,0.001710929,0.026815534,0.008952677,0.12762031,0.8723797
228,-0.0031995922,0.0014292821,0.027103007,0.009079158,0.12816778,0.8718322
229,-0.0029749274,0.001329802,0.02719289,0.009118795,0.12833613,0.87166387
230,-0.0033568293,0.0006654188,0.027861476,0.009392917,0.12933251,0.8706675
231,-0.002066359,0.0009211749,0.027742386,0.009353638,0.12929238,0.87070763
232,-0.0017796904,0.0007648468,0.027873278,0.009411693,0.12953053,0.87046945
233,-0.0017641336,0.0012094527,0.02742064,0.009223342,0.12882908,0.87117094
234,-0.0024610758,0.0011337698,0.02741766,0.009216666,0.12874708,0.87125295
235,-0.0028450042,0.0012216866,0.027326047,0.009174824,0.12855875,0.8714412
236,-0.0026773363,0.0014387369,0.027101696,0.009083629,0.1282266,0.87177336
237,-0.0035780072,0.0017853901,0.026676416,0.008900642,0.12745263,0.8725474
238,-0.0047934204,0.0018559322,0.0265342,0.008831799,0.12708868,0.87291133
239,-0.0056463033,0.0019690692,0.026415944,0.008775175,0.12680075,0.8731993
240,-0.009298861,0.0031741783,0.02520132,0.008247733,0.12440947,0.8755905
241,-0.008208528,0.0027354583,0.025672495,0.008447528,0.1253037,0.8746963
242,-0.008178636,0.0028985143,0.02555585,0.008399725,0.12511435,0.8748856
243,-0.0060870647,0.0021698624,0.026318908,0.008729279,0.1265879,0.87341213
244,-0.005928576,0.0025261566,0.025991976,0.008596599,0.12607838,0.8739216
245,-0.0059003234,0.0024077073,0.026063561,0.0086269975,0.12620011,0.87379986
246,-0.004406154,0.0015963614,0.026891053,0.008980632,0.1276947,0.87230533
247,-0.0030075908,0.0014650449,0.027079582,0.009071112,0.12815271,0.87184733
248,-0.0036988258,0.0016449839,0.026834428,0.0089643,0.12768838,0.8723116
249,-0.004713714,0.0019150227,0.026523173,0.00882709,0.12707745,0.8729226
250,-0.005838558,0.002163209,0.02624631,0.008703411,0.12650512,0.87349486
