,mu1,mu2,mu3,sigma1,sigma2,sigma3,pi1,pi2,pi3
0,0.0150706805,0.0049934983,-0.001988696,0.07337618,0.02924633,0.009576678,0.0015045125,0.12521194,0.87328357
1,0.012417305,0.007663548,-0.00053374656,0.07392591,0.02957958,0.009741545,0.0015415226,0.12629,0.8721685
2,0.015250791,0.004884064,-0.0020736922,0.073696434,0.02940011,0.009654105,0.0015199143,0.12559843,0.8728817
3,0.015013669,0.0046218634,-0.0021819938,0.073173344,0.029135585,0.0095332265,0.0014951099,0.12497404,0.8735308
4,0.015964333,0.003422141,-0.0028921235,0.07253611,0.028785884,0.009367287,0.0014597236,0.12400475,0.87453556
5,0.014470268,0.0045389533,-0.0023369063,0.072107315,0.028587222,0.009279966,0.0014430783,0.12364201,0.8749149
6,0.012766037,0.0061373115,-0.0015385617,0.07224929,0.028679848,0.009332061,0.0014549879,0.12404473,0.8745003
7,0.013854075,0.0056431293,-0.001791941,0.07278675,0.028940022,0.009447217,0.0014778422,0.12458889,0.8739333
8,0.014084745,0.0050460696,-0.0020939577,0.072473645,0.028770804,0.009373307,0.001462122,0.12416792,0.87437004
9,0.013351504,0.00557971,-0.0018052328,0.07253569,0.028812885,0.00939858,0.0014678362,0.12435441,0.87417775
10,0.013161857,0.0061276555,-0.0014647115,0.07317519,0.029152215,0.009555519,0.0015007055,0.12521541,0.8732839
11,0.014973152,0.003401637,-0.0029737223,0.07215798,0.02858001,0.00929749,0.0014447408,0.123665415,0.8748898
12,0.015872095,0.003006637,-0.0030964483,0.0722965,0.028657496,0.009316862,0.001448988,0.12372802,0.87482303
13,0.014019255,0.0049764514,-0.002032565,0.07246482,0.028783321,0.0093743205,0.0014630151,0.12418879,0.87434816
14,0.013775025,0.0062334538,-0.0013458598,0.073458314,0.02931124,0.009609997,0.0015126964,0.12548691,0.8730003
15,0.014702577,0.005664587,-0.0016492475,0.07366294,0.029402256,0.00964731,0.0015196693,0.1256186,0.87286174
