,mu1,mu2,sigma1,sigma2,pi1,pi2
0,0.00829462,0.0023758113,0.010500193,0.0075120926,0.5031815,0.49681842
1,0.007967271,0.004107952,0.010533929,0.0075395703,0.50382805,0.49617198
2,0.0073941126,0.0036296546,0.0106191635,0.007610142,0.50330573,0.49669424
3,0.0072693005,0.0043381155,0.010769486,0.007728696,0.5031457,0.49685434
4,0.007855751,0.0031520724,0.010724902,0.0076907873,0.5027928,0.49720722
5,0.008026041,0.0037508607,0.010751903,0.0077106357,0.5029889,0.4970111
6,0.0073562637,0.005671352,0.010885358,0.007818639,0.50339186,0.49660814
7,0.006980695,0.0055105686,0.010883212,0.0078193545,0.5033007,0.49669924
8,0.0065567866,0.0065515637,0.011060476,0.007961154,0.50319904,0.49680096
9,0.006272055,0.007897168,0.011195004,0.008068442,0.503379,0.496621
10,0.0057272688,0.009231776,0.011319935,0.008169889,0.50356936,0.49643058
11,0.006887175,0.0056304634,0.010925591,0.00785321,0.5032185,0.49678153
12,0.008068003,0.003227353,0.010700941,0.007670641,0.5029156,0.49708438
13,0.008127369,0.0038872957,0.01068753,0.0076593757,0.5032572,0.49674284
14,0.00808052,0.0033268332,0.0105473995,0.0075499415,0.5034431,0.49655688
15,0.0082002655,0.0024561882,0.010476291,0.0074938536,0.503287,0.49671295
16,0.008005895,0.003428787,0.010572672,0.007570088,0.503404,0.49659598
17,0.0065399185,0.0075422227,0.010865152,0.0078067183,0.504236,0.49576405
18,0.006136991,0.005617887,0.01086545,0.0078104734,0.50334567,0.49665436
19,0.0043888465,0.011202663,0.011469901,0.008296132,0.5039219,0.4960781
20,0.004017748,0.009854406,0.011595905,0.008399367,0.50292814,0.49707183
21,0.004496254,0.009466648,0.011654139,0.0084427,0.50262,0.49738002
22,0.004444279,0.010312825,0.01169914,0.008478284,0.5028669,0.4971331
23,0.004470624,0.0102003515,0.011775792,0.008539081,0.5026005,0.4973995
24,0.0045588985,0.011457831,0.011925995,0.008657217,0.50274694,0.49725303
25,0.004538454,0.011821508,0.012003541,0.008718848,0.50269216,0.4973078
26,0.003947355,0.014454275,0.012327492,0.008979678,0.50294274,0.49705723
27,0.0061521307,0.008838862,0.011394024,0.008226037,0.50320476,0.49679518
28,0.0057729855,0.009611726,0.011518478,0.00832659,0.5031628,0.49683723
29,0.007721342,0.005206704,0.010885477,0.007816732,0.50320834,0.4967917
30,0.007947065,0.0047196746,0.010767698,0.007722974,0.5033685,0.49663153
31,0.0077720657,0.004455298,0.010714233,0.0076821446,0.50340414,0.4965959
32,0.007258214,0.005734533,0.010843933,0.0077866316,0.50354064,0.4964594
33,0.0072008744,0.0052131414,0.010774612,0.0077326894,0.50351703,0.49648297
34,0.0066323057,0.0064510107,0.010886848,0.007823825,0.503687,0.49631295
35,0.006848611,0.0051310956,0.01076901,0.007730484,0.5034736,0.49652645
36,0.007587768,0.0033454,0.010653496,0.00763613,0.503084,0.49691603
37,0.006596245,0.0075444877,0.010907471,0.007839739,0.5041111,0.49588883
38,0.0054541603,0.007692665,0.01101464,0.007931173,0.50377345,0.49622658
39,0.0062888637,0.004108548,0.010855675,0.0078026652,0.50271,0.49729005
40,0.0054777637,0.007913977,0.011195183,0.008073568,0.5033319,0.49666813
