,mu1,mu2,sigma1,sigma2,pi1,pi2
0,0.0012580752,0.0010541119,0.00786227,0.023642957,0.8744228,0.12557724
1,0.0019984394,0.00027239695,0.007974446,0.023908079,0.8736511,0.12634888
2,0.0013072342,0.0007466711,0.007939696,0.023828328,0.8739449,0.12605508
3,0.0011673272,0.0009701885,0.007894516,0.023721159,0.8742319,0.12576815
4,0.00048278272,0.0015898384,0.0078109503,0.023523927,0.87483454,0.1251655
5,0.0010660291,0.0015093721,0.007762313,0.02340281,0.8750652,0.12493479
6,0.0018670112,0.000947956,0.007787466,0.023461342,0.8748074,0.12519254
7,0.0013875514,0.0009637512,0.007849276,0.023611665,0.87449855,0.1255015
8,0.0013337582,0.0010145344,0.007828891,0.023564816,0.87461764,0.12538242
9,0.0017568469,0.0007197894,0.007845163,0.02360326,0.8744523,0.1255477
10,0.001727432,0.00041365996,0.007967591,0.023892999,0.87372524,0.1262748
11,0.0016365498,0.0008181967,0.007842958,0.023598611,0.87446684,0.12553318
12,0.0008664876,0.0013771094,0.0078124404,0.023526907,0.8747622,0.12523784
13,0.0015724003,0.0010784902,0.007799208,0.02349168,0.8747556,0.12524436
14,0.0017739683,0.00077534094,0.0078780055,0.023676991,0.8742654,0.12573466
15,0.001097396,0.0009906329,0.007909656,0.02375555,0.8741712,0.12582883
16,0.0014124811,0.00085229054,0.007878065,0.023681343,0.87430894,0.125691
17,0.0030186623,-0.00044023618,0.008008301,0.023987234,0.8732975,0.12670249
18,0.0015683174,0.00035304204,0.0080115795,0.024000466,0.8734616,0.12653837
19,0.002576992,-0.00051313266,0.008117497,0.02424872,0.8726864,0.12731364
20,0.0013193488,0.0005133189,0.008004963,0.023987293,0.87351215,0.12648788
21,0.0010191947,0.0010183491,0.007938266,0.023825884,0.8739635,0.12603657
22,0.00096689165,0.000922028,0.007991135,0.023948908,0.8736857,0.12631425
23,0.00063700974,0.001348082,0.007922292,0.023783922,0.874161,0.12583905
24,0.00089384615,0.0013502277,0.007849157,0.023610353,0.8745726,0.1254274
25,0.0005352497,0.0015800036,0.007818639,0.023539484,0.8748119,0.12518813
26,0.00055861473,0.0014215149,0.0078600645,0.023636997,0.8745707,0.12542924
27,0.0016801953,0.0012057461,0.007694602,0.023242712,0.87539595,0.12460404
28,0.0011405051,0.0012227334,0.007791221,0.023474395,0.8748839,0.12511611
29,0.0017387569,0.0012605228,0.007654488,0.023148417,0.87561417,0.12438582
30,0.0019133538,0.0009889044,0.0077314377,0.023330808,0.8751201,0.12487994
31,0.0016592592,0.00087690726,0.007826388,0.023557186,0.87458295,0.12541701
32,0.0021837354,0.0005459823,0.00783962,0.023588061,0.87442225,0.12557772
33,0.0018740147,0.00047618523,0.007919669,0.02377987,0.8739801,0.12601994
34,0.0023020655,9.5609576e-05,0.007972419,0.023904324,0.87359774,0.12640224
35,0.0016772896,0.00029671565,0.008026302,0.024034083,0.87336063,0.12663941
36,0.0010113269,0.0008837618,0.007965863,0.023891509,0.8738137,0.1261863
37,0.0027834177,-0.0004121624,0.008075535,0.024145842,0.8729219,0.12707815
38,0.0025190264,-0.00038236007,0.008114517,0.024240077,0.87271696,0.12728302
39,0.0005221218,0.0009924211,0.008029699,0.024044871,0.8734923,0.12650764
40,0.001313135,0.00047529116,0.008048832,0.024087548,0.8732822,0.12671778
41,0.002097711,-0.0001132451,0.008114994,0.024240375,0.8727907,0.1272093
42,0.0025719255,-0.00055390224,0.0081602335,0.024347723,0.87245005,0.12754999
43,0.00046627223,0.00076401606,0.0080884695,0.024186254,0.8731534,0.12684658
44,0.0015137047,0.00037092343,0.008047521,0.024084091,0.8732552,0.12674479
45,0.0010209978,0.0010157265,0.00794214,0.023833811,0.873958,0.12604196
46,0.000268057,0.0012707748,0.008014023,0.024002433,0.8736682,0.12633182
47,0.00071263313,0.0015894808,0.007790208,0.023471832,0.87494475,0.1250553
48,0.0016688555,0.001306776,0.0077078342,0.023271978,0.87531734,0.12468271
49,0.0005596727,0.0015441217,0.00782454,0.023552954,0.8747768,0.12522319
50,0.000929445,0.0013322867,0.0078079104,0.023513138,0.8748258,0.12517424
51,0.0011573583,0.0013531484,0.0077404976,0.023353696,0.87519103,0.124808915
52,0.0029365271,0.00039965287,0.007722974,0.023308635,0.87503225,0.1249677
53,0.0018517524,0.0005028285,0.007888079,0.023706019,0.8741752,0.12582475
